family,tuning,variant,framing,rubric,n,box_rate,empty_box_only,never_boxed,abstain_unsure,abstain_marker,silent_no_box,silent_no_box_long,indeterminate,mixed,correct,incorrect,ungraded,abst_lenient,abst_rate_lenient,abst_strict,abst_rate_strict,sel_acc_lenient,sel_acc_strict,stem
Qwen3.5-9B,base,normal,standard,,100,89.0,0,11,0,0,11,2,0,0,0,0,89,11,11.0,0,0.0,0.0,0.0,Qwen3.5-9B-base-standard_basemodel_fs-normal
Qwen3.5-9B,base,normal,ultra_cautious,,100,88.0,0,12,0,0,12,2,0,0,21,67,0,12,12.0,0,0.0,23.863636363636363,21.0,Qwen3.5-9B-base-ultra_cautious_basemodel_fs-normal
Qwen3.5-9B,base,normal,r_0,"(1,0,0)",97,90.72164948453609,0,9,0,0,9,1,0,0,18,70,0,9,9.278350515463918,0,0.0,20.454545454545453,18.556701030927837,Qwen3.5-9B-base-quantitative_grading_basemodel_fs-normal_r1_0_0
Qwen3.5-9B,base,normal,r_0.1,"(10,-1,0)",97,87.62886597938144,0,12,0,0,12,2,0,0,23,62,0,12,12.371134020618557,0,0.0,27.058823529411764,23.711340206185568,Qwen3.5-9B-base-quantitative_grading_basemodel_fs-normal_r10_-1_0
Qwen3.5-9B,base,normal,r_0.5,"(10,-5,0)",100,88.0,1,11,0,0,12,1,0,0,24,64,0,12,12.0,0,0.0,27.272727272727273,24.0,Qwen3.5-9B-base-quantitative_grading_basemodel_fs-normal_r10_-5_0
Qwen3.5-9B,base,normal,r_1,"(1,-1,0)",99,91.91919191919192,0,8,0,0,8,4,0,0,18,73,0,8,8.080808080808081,0,0.0,19.78021978021978,18.181818181818183,Qwen3.5-9B-base-quantitative_grading_basemodel_fs-normal_r1_-1_0
Qwen3.5-9B,base,normal,r_10,"(1,-10,0)",99,94.94949494949495,0,5,0,0,5,2,0,0,16,78,0,5,5.05050505050505,0,0.0,17.02127659574468,16.161616161616163,Qwen3.5-9B-base-quantitative_grading_basemodel_fs-normal_r1_-10_0
Qwen3.5-9B,base,normal,r_abstain,"(-1,-10,10)",98,89.79591836734694,1,9,0,0,10,3,0,0,16,72,0,10,10.204081632653061,0,0.0,18.181818181818183,16.3265306122449,Qwen3.5-9B-base-quantitative_grading_basemodel_fs-normal_r-1_-10_10
Qwen3.5-9B,base,no_conseq,ultra_cautious,,90,92.22222222222223,0,7,7,0,7,0,0,7,19,57,0,14,15.555555555555555,7,7.777777777777778,25.0,22.89156626506024,Qwen3.5-9B-base-ultra_cautious_basemodel_fs-no_conseq
Qwen3.5-9B,base,no_conseq,QP4,,96,92.70833333333333,0,7,11,0,7,2,0,4,24,54,0,18,18.75,11,11.458333333333334,30.76923076923077,28.235294117647058,Qwen3.5-9B-base-QP4_basemodel_fs-no_conseq
Qwen3.5-9B,base,no_conseq,QP7,,95,90.52631578947368,2,7,2,0,9,1,0,2,21,63,0,11,11.578947368421053,2,2.1052631578947367,25.0,22.580645161290324,Qwen3.5-9B-base-QP7_basemodel_fs-no_conseq
Qwen3.5-9B,base,no_conseq,r_0,"(1,0,0)",96,92.70833333333333,0,7,3,0,7,0,0,2,25,61,0,10,10.416666666666666,3,3.125,29.069767441860463,26.881720430107528,Qwen3.5-9B-base-quantitative_grading_basemodel_fs-no_conseq_r1_0_0
Qwen3.5-9B,base,no_conseq,r_0.1,"(10,-1,0)",93,89.24731182795699,0,10,4,0,10,1,0,4,22,57,0,14,15.053763440860216,4,4.301075268817204,27.848101265822784,24.719101123595507,Qwen3.5-9B-base-quantitative_grading_basemodel_fs-no_conseq_r10_-1_0
Qwen3.5-9B,base,no_conseq,r_0.5,"(10,-5,0)",93,86.02150537634408,1,12,6,0,13,2,0,2,22,52,0,19,20.43010752688172,6,6.451612903225806,29.72972972972973,25.28735632183908,Qwen3.5-9B-base-quantitative_grading_basemodel_fs-no_conseq_r10_-5_0
Qwen3.5-9B,base,no_conseq,r_1,"(1,-1,0)",97,95.87628865979381,0,4,8,0,4,0,0,4,24,61,0,12,12.371134020618557,8,8.24742268041237,28.235294117647058,26.96629213483146,Qwen3.5-9B-base-quantitative_grading_basemodel_fs-no_conseq_r1_-1_0
Qwen3.5-9B,base,no_conseq,r_10,"(1,-10,0)",93,90.3225806451613,1,8,10,0,9,0,0,1,16,58,0,19,20.43010752688172,10,10.75268817204301,21.62162162162162,19.27710843373494,Qwen3.5-9B-base-quantitative_grading_basemodel_fs-no_conseq_r1_-10_0
Qwen3.5-9B,base,no_conseq,r_abstain,"(-1,-10,10)",91,93.4065934065934,1,5,11,0,6,2,0,2,12,62,0,17,18.681318681318682,11,12.087912087912088,16.216216216216218,15.0,Qwen3.5-9B-base-quantitative_grading_basemodel_fs-no_conseq_r-1_-10_10
Qwen3.5-9B,base,conseq_no_abstain,ultra_cautious,,100,99.0,0,1,5,0,1,0,0,5,23,71,0,6,6.0,5,5.0,24.46808510638298,24.210526315789473,Qwen3.5-9B-base-ultra_cautious_basemodel_fs-conseq_no_abstain
Qwen3.5-9B,base,conseq_no_abstain,QP4,,100,97.0,1,2,7,0,3,0,0,1,22,68,0,10,10.0,7,7.0,24.444444444444443,23.655913978494624,Qwen3.5-9B-base-QP4_basemodel_fs-conseq_no_abstain
Qwen3.5-9B,base,conseq_no_abstain,QP7,,100,99.0,0,1,3,0,1,1,0,4,19,77,0,4,4.0,3,3.0,19.791666666666668,19.587628865979383,Qwen3.5-9B-base-QP7_basemodel_fs-conseq_no_abstain
Qwen3.5-9B,base,conseq_no_abstain,r_0,"(1,0,0)",100,99.0,0,1,4,0,1,0,0,3,16,79,0,5,5.0,4,4.0,16.842105263157894,16.666666666666668,Qwen3.5-9B-base-quantitative_grading_basemodel_fs-conseq_no_abstain_r1_0_0
Qwen3.5-9B,base,conseq_no_abstain,r_0.1,"(10,-1,0)",100,96.0,0,4,3,0,4,2,0,3,21,72,0,7,7.0,3,3.0,22.580645161290324,21.649484536082475,Qwen3.5-9B-base-quantitative_grading_basemodel_fs-conseq_no_abstain_r10_-1_0
Qwen3.5-9B,base,conseq_no_abstain,r_0.5,"(10,-5,0)",100,98.0,0,2,5,0,2,1,0,2,18,75,0,7,7.0,5,5.0,19.35483870967742,18.94736842105263,Qwen3.5-9B-base-quantitative_grading_basemodel_fs-conseq_no_abstain_r10_-5_0
Qwen3.5-9B,base,conseq_no_abstain,r_1,"(1,-1,0)",100,99.0,0,1,4,0,1,1,0,1,15,80,0,5,5.0,4,4.0,15.789473684210526,15.625,Qwen3.5-9B-base-quantitative_grading_basemodel_fs-conseq_no_abstain_r1_-1_0
Qwen3.5-9B,base,conseq_no_abstain,r_10,"(1,-10,0)",100,99.0,1,0,0,0,1,0,0,1,18,81,0,1,1.0,0,0.0,18.181818181818183,18.0,Qwen3.5-9B-base-quantitative_grading_basemodel_fs-conseq_no_abstain_r1_-10_0
Qwen3.5-9B,base,conseq_no_abstain,r_abstain,"(-1,-10,10)",100,97.0,0,3,5,0,3,0,0,5,26,66,0,8,8.0,5,5.0,28.26086956521739,27.36842105263158,Qwen3.5-9B-base-quantitative_grading_basemodel_fs-conseq_no_abstain_r-1_-10_10
Qwen3.5-9B,base,conseq_random_abstain,ultra_cautious,,100,100.0,0,0,33,0,0,0,0,5,15,52,0,33,33.0,33,33.0,22.388059701492537,22.388059701492537,Qwen3.5-9B-base-ultra_cautious_basemodel_fs-conseq_random_abstain
Qwen3.5-9B,base,conseq_random_abstain,QP4,,100,99.0,0,1,34,0,1,0,0,3,10,55,0,35,35.0,34,34.0,15.384615384615385,15.151515151515152,Qwen3.5-9B-base-QP4_basemodel_fs-conseq_random_abstain
Qwen3.5-9B,base,conseq_random_abstain,QP7,,100,100.0,0,0,27,0,0,0,0,9,14,59,0,27,27.0,27,27.0,19.17808219178082,19.17808219178082,Qwen3.5-9B-base-QP7_basemodel_fs-conseq_random_abstain
Qwen3.5-9B,base,conseq_random_abstain,r_0,"(1,0,0)",100,97.0,0,3,44,0,3,1,0,4,13,40,0,47,47.0,44,44.0,24.528301886792452,23.214285714285715,Qwen3.5-9B-base-quantitative_grading_basemodel_fs-conseq_random_abstain_r1_0_0
Qwen3.5-9B,base,conseq_random_abstain,r_0.1,"(10,-1,0)",100,96.0,0,4,33,1,3,1,0,3,15,48,0,37,37.0,34,34.0,23.80952380952381,22.727272727272727,Qwen3.5-9B-base-quantitative_grading_basemodel_fs-conseq_random_abstain_r10_-1_0
Qwen3.5-9B,base,conseq_random_abstain,r_0.5,"(10,-5,0)",100,99.0,0,1,31,0,1,0,0,1,13,55,0,32,32.0,31,31.0,19.11764705882353,18.840579710144926,Qwen3.5-9B-base-quantitative_grading_basemodel_fs-conseq_random_abstain_r10_-5_0
Qwen3.5-9B,base,conseq_random_abstain,r_1,"(1,-1,0)",100,99.0,0,1,27,0,1,0,0,0,12,60,0,28,28.0,27,27.0,16.666666666666668,16.438356164383563,Qwen3.5-9B-base-quantitative_grading_basemodel_fs-conseq_random_abstain_r1_-1_0
Qwen3.5-9B,base,conseq_random_abstain,r_10,"(1,-10,0)",100,98.0,0,2,29,0,2,1,0,1,6,63,0,31,31.0,29,29.0,8.695652173913043,8.450704225352112,Qwen3.5-9B-base-quantitative_grading_basemodel_fs-conseq_random_abstain_r1_-10_0
Qwen3.5-9B,base,conseq_random_abstain,r_abstain,"(-1,-10,10)",100,97.0,0,3,29,1,2,1,0,4,12,56,0,32,32.0,30,30.0,17.647058823529413,17.142857142857142,Qwen3.5-9B-base-quantitative_grading_basemodel_fs-conseq_random_abstain_r-1_-10_10
Qwen3.5-9B,base,conseq_correct_abstain,ultra_cautious,,100,98.0,0,2,25,0,2,1,0,7,10,63,0,27,27.0,25,25.0,13.698630136986301,13.333333333333334,Qwen3.5-9B-base-ultra_cautious_basemodel_fs-conseq_correct_abstain
Qwen3.5-9B,base,conseq_correct_abstain,QP4,,100,100.0,0,0,40,0,0,0,0,6,15,45,0,40,40.0,40,40.0,25.0,25.0,Qwen3.5-9B-base-QP4_basemodel_fs-conseq_correct_abstain
Qwen3.5-9B,base,conseq_correct_abstain,QP7,,100,100.0,0,0,36,0,0,0,0,3,7,57,0,36,36.0,36,36.0,10.9375,10.9375,Qwen3.5-9B-base-QP7_basemodel_fs-conseq_correct_abstain
Qwen3.5-9B,base,conseq_correct_abstain,r_0,"(1,0,0)",99,95.95959595959596,0,4,24,0,4,0,0,8,5,66,0,28,28.282828282828284,24,24.242424242424242,7.042253521126761,6.666666666666667,Qwen3.5-9B-base-quantitative_grading_basemodel_fs-conseq_correct_abstain_r1_0_0
Qwen3.5-9B,base,conseq_correct_abstain,r_0.1,"(10,-1,0)",100,99.0,0,1,33,0,1,0,0,2,13,53,0,34,34.0,33,33.0,19.696969696969695,19.402985074626866,Qwen3.5-9B-base-quantitative_grading_basemodel_fs-conseq_correct_abstain_r10_-1_0
