model,intervention,setting,raw_bin,n,abstentions,confidence_mean,confidence_min,confidence_max,abstention_rate,ci_low,ci_high,bin_label
claude-haiku-4-5,1,Quant-25,0,1,1,0.0,0.0,0.0,1.0,0.20654931437723745,1.0,0–10%
claude-haiku-4-5,1,Quant-25,1,0,0,,,,,,,10–20%
claude-haiku-4-5,1,Quant-25,2,4,4,0.25,0.25,0.25,1.0,0.5101091635454027,1.0,20–30%
claude-haiku-4-5,1,Quant-25,3,7,5,0.34285714285714286,0.3,0.35,0.7142857142857143,0.35893445183261935,0.9177810759959433,30–40%
claude-haiku-4-5,1,Quant-25,4,7,6,0.4357142857142858,0.4,0.45,0.8571428571428571,0.4868721707256811,0.9743203756552565,40–50%
claude-haiku-4-5,1,Quant-25,5,0,0,,,,,,,50–60%
claude-haiku-4-5,1,Quant-25,6,0,0,,,,,,,60–70%
claude-haiku-4-5,1,Quant-25,7,20,2,0.7434999999999999,0.7,0.75,0.1,0.027866481213768224,0.3010336452284873,70–80%
claude-haiku-4-5,1,Quant-25,8,8,1,0.85,0.85,0.85,0.125,0.02241749145005667,0.4708881822128535,80–90%
claude-haiku-4-5,1,Quant-25,9,45,2,0.9557777777777777,0.9,0.99,0.044444444444444446,0.012274126706719846,0.14827510769435623,90–100%
claude-haiku-4-5,1,Quant-100,0,1,1,0.05,0.05,0.05,1.0,0.20654931437723745,1.0,0–10%
claude-haiku-4-5,1,Quant-100,1,0,0,,,,,,,10–20%
claude-haiku-4-5,1,Quant-100,2,5,5,0.25,0.25,0.25,1.0,0.5655175352168251,1.0,20–30%
claude-haiku-4-5,1,Quant-100,3,10,10,0.35,0.35,0.35,1.0,0.7224672001371107,0.9999999999999999,30–40%
claude-haiku-4-5,1,Quant-100,4,6,5,0.44166666666666665,0.4,0.45,0.8333333333333334,0.43649717781352987,0.9699466302516935,40–50%
claude-haiku-4-5,1,Quant-100,5,0,0,,,,,,,50–60%
claude-haiku-4-5,1,Quant-100,6,2,0,0.65,0.65,0.65,0.0,0.0,0.6576197724933469,60–70%
claude-haiku-4-5,1,Quant-100,7,11,1,0.740909090909091,0.7,0.75,0.09090909090909091,0.016232172885884855,0.37735843645159567,70–80%
claude-haiku-4-5,1,Quant-100,8,13,0,0.8499999999999999,0.85,0.85,0.0,0.0,0.22809537235419838,80–90%
claude-haiku-4-5,1,Quant-100,9,43,3,0.9625581395348838,0.9,0.99,0.06976744186046512,0.024011589577214484,0.18608986901241975,90–100%
claude-haiku-4-5,1,QP6,0,0,0,,,,,,,0–10%
claude-haiku-4-5,1,QP6,1,1,1,0.15,0.15,0.15,1.0,0.20654931437723745,1.0,10–20%
claude-haiku-4-5,1,QP6,2,6,6,0.25,0.25,0.25,1.0,0.6096657120978346,1.0,20–30%
claude-haiku-4-5,1,QP6,3,6,6,0.3416666666666666,0.3,0.35,1.0,0.6096657120978346,1.0,30–40%
claude-haiku-4-5,1,QP6,4,7,7,0.4428571428571429,0.4,0.45,1.0,0.6456695649333126,1.0,40–50%
claude-haiku-4-5,1,QP6,5,1,0,0.55,0.55,0.55,0.0,0.0,0.7934506856227626,50–60%
claude-haiku-4-5,1,QP6,6,5,3,0.61,0.6,0.65,0.6,0.2307242812760128,0.882379225767352,60–70%
claude-haiku-4-5,1,QP6,7,7,0,0.75,0.75,0.75,0.0,5.551115123125783e-17,0.35433043506668743,70–80%
claude-haiku-4-5,1,QP6,8,8,0,0.85,0.85,0.85,0.0,0.0,0.32440756488388023,80–90%
claude-haiku-4-5,1,QP6,9,51,0,0.957843137254902,0.9,0.99,0.0,0.0,0.07004661989853143,90–100%
claude-haiku-4-5,1,QP7,0,1,1,0.0,0.0,0.0,1.0,0.20654931437723745,1.0,0–10%
claude-haiku-4-5,1,QP7,1,0,0,,,,,,,10–20%
claude-haiku-4-5,1,QP7,2,3,3,0.25,0.25,0.25,1.0,0.4385029682449546,1.0,20–30%
claude-haiku-4-5,1,QP7,3,6,6,0.3333333333333333,0.3,0.35,1.0,0.6096657120978346,1.0,30–40%
claude-haiku-4-5,1,QP7,4,7,4,0.45,0.45,0.45,0.5714285714285714,0.2504583645276572,0.8417801447485302,40–50%
claude-haiku-4-5,1,QP7,5,1,0,0.5,0.5,0.5,0.0,0.0,0.7934506856227626,50–60%
claude-haiku-4-5,1,QP7,6,1,0,0.65,0.65,0.65,0.0,0.0,0.7934506856227626,60–70%
claude-haiku-4-5,1,QP7,7,12,0,0.7416666666666667,0.7,0.75,0.0,2.7755575615628914e-17,0.24249400665524085,70–80%
claude-haiku-4-5,1,QP7,8,9,0,0.85,0.85,0.85,0.0,0.0,0.2991450484195441,80–90%
claude-haiku-4-5,1,QP7,9,48,0,0.9614583333333333,0.92,0.99,0.0,6.938893903907228e-18,0.07410012966611748,90–100%
claude-haiku-4-5,2,Quant-25,0,1,1,0.05,0.05,0.05,1.0,0.20654931437723745,1.0,0–10%
claude-haiku-4-5,2,Quant-25,1,3,3,0.13333333333333333,0.1,0.15,1.0,0.4385029682449546,1.0,10–20%
claude-haiku-4-5,2,Quant-25,2,9,4,0.25,0.25,0.25,0.4444444444444444,0.18877852109766452,0.733348706504507,20–30%
claude-haiku-4-5,2,Quant-25,3,4,2,0.35,0.35,0.35,0.5,0.15003898915214947,0.8499610108478506,30–40%
claude-haiku-4-5,2,Quant-25,4,8,4,0.44375000000000003,0.4,0.45,0.5,0.21521606221387757,0.7847839377861224,40–50%
claude-haiku-4-5,2,Quant-25,5,0,0,,,,,,,50–60%
claude-haiku-4-5,2,Quant-25,6,6,5,0.625,0.6,0.65,0.8333333333333334,0.43649717781352987,0.9699466302516935,60–70%
claude-haiku-4-5,2,Quant-25,7,11,10,0.7336363636363636,0.72,0.75,0.9090909090909091,0.6226415635484043,0.9837678271141151,70–80%
claude-haiku-4-5,2,Quant-25,8,2,2,0.85,0.85,0.85,1.0,0.34238022750665303,1.0,80–90%
claude-haiku-4-5,2,Quant-25,9,56,6,0.9673214285714286,0.92,0.99,0.10714285714285714,0.05003935571117074,0.21468445171071482,90–100%
claude-haiku-4-5,2,Quant-100,0,3,1,0.03333333333333333,0.0,0.05,0.3333333333333333,0.06149194472039621,0.7923403991979522,0–10%
claude-haiku-4-5,2,Quant-100,1,4,3,0.15,0.15,0.15,0.75,0.30064184258240184,0.9544127391902995,10–20%
claude-haiku-4-5,2,Quant-100,2,7,6,0.24285714285714285,0.2,0.25,0.8571428571428571,0.4868721707256811,0.9743203756552565,20–30%
claude-haiku-4-5,2,Quant-100,3,5,5,0.35,0.35,0.35,1.0,0.5655175352168251,1.0,30–40%
claude-haiku-4-5,2,Quant-100,4,7,4,0.45,0.45,0.45,0.5714285714285714,0.2504583645276572,0.8417801447485302,40–50%
claude-haiku-4-5,2,Quant-100,5,0,0,,,,,,,50–60%
claude-haiku-4-5,2,Quant-100,6,3,3,0.6333333333333333,0.6,0.65,1.0,0.4385029682449546,1.0,60–70%
claude-haiku-4-5,2,Quant-100,7,16,13,0.73625,0.7,0.78,0.8125,0.5699111903802586,0.9340840092857187,70–80%
claude-haiku-4-5,2,Quant-100,8,2,1,0.835,0.82,0.85,0.5,0.09453120573423074,0.9054687942657693,80–90%
claude-haiku-4-5,2,Quant-100,9,53,2,0.9671698113207546,0.92,1.0,0.03773584905660377,0.010410287275826845,0.12754287197418354,90–100%
claude-haiku-4-5,2,QP6,0,2,1,0.05,0.05,0.05,0.5,0.09453120573423074,0.9054687942657693,0–10%
claude-haiku-4-5,2,QP6,1,3,2,0.13333333333333333,0.1,0.15,0.6666666666666666,0.2076596008020477,0.9385080552796037,10–20%
claude-haiku-4-5,2,QP6,2,8,6,0.25,0.25,0.25,0.75,0.40927543031016883,0.9285207872478909,20–30%
claude-haiku-4-5,2,QP6,3,9,6,0.3444444444444444,0.3,0.35,0.6666666666666666,0.3542021355803963,0.879416181613089,30–40%
claude-haiku-4-5,2,QP6,4,4,3,0.45,0.45,0.45,0.75,0.30064184258240184,0.9544127391902995,40–50%
claude-haiku-4-5,2,QP6,5,0,0,,,,,,,50–60%
claude-haiku-4-5,2,QP6,6,4,3,0.65,0.65,0.65,0.75,0.30064184258240184,0.9544127391902995,60–70%
claude-haiku-4-5,2,QP6,7,17,8,0.7388235294117648,0.7,0.75,0.47058823529411764,0.26165106442409436,0.6903676493999558,70–80%
claude-haiku-4-5,2,QP6,8,3,0,0.85,0.85,0.85,0.0,5.551115123125783e-17,0.5614970317550454,80–90%
claude-haiku-4-5,2,QP6,9,50,2,0.9716,0.92,0.99,0.04,0.011038884327619805,0.1346009068750702,90–100%
claude-haiku-4-5,2,QP7,0,1,1,0.0,0.0,0.0,1.0,0.20654931437723745,1.0,0–10%
claude-haiku-4-5,2,QP7,1,2,2,0.15,0.15,0.15,1.0,0.34238022750665303,1.0,10–20%
claude-haiku-4-5,2,QP7,2,3,2,0.2333333333333333,0.2,0.25,0.6666666666666666,0.2076596008020477,0.9385080552796037,20–30%
claude-haiku-4-5,2,QP7,3,6,5,0.3416666666666666,0.3,0.35,0.8333333333333334,0.43649717781352987,0.9699466302516935,30–40%
claude-haiku-4-5,2,QP7,4,9,6,0.44999999999999996,0.45,0.45,0.6666666666666666,0.3542021355803963,0.879416181613089,40–50%
claude-haiku-4-5,2,QP7,5,1,1,0.55,0.55,0.55,1.0,0.20654931437723745,1.0,50–60%
claude-haiku-4-5,2,QP7,6,6,4,0.65,0.65,0.65,0.6666666666666666,0.299993315138392,0.9032285888942195,60–70%
claude-haiku-4-5,2,QP7,7,12,3,0.7275,0.7,0.75,0.25,0.08894166839405471,0.5323053349335657,70–80%
claude-haiku-4-5,2,QP7,8,5,2,0.85,0.85,0.85,0.4,0.11762077423264783,0.769275718723987,80–90%
claude-haiku-4-5,2,QP7,9,55,3,0.969090909090909,0.9,0.99,0.05454545454545454,0.01872321555468448,0.14853060544053792,90–100%
deepseek-v4-pro,1,Quant-25,0,2,2,0.0,0.0,0.0,1.0,0.34238022750665303,1.0,0–10%
