cohort,model,intervention,setting,n,mean_confidence,candidate_accuracy,signed_calibration_gap,brier_score,ece_10_bin
all_candidates,claude-haiku-4-5,1,Quant-25,96,0.7591666666666667,0.5625,0.19666666666666666,0.19519791666666664,0.19666666666666685
all_candidates,claude-haiku-4-5,1,Quant-100,97,0.7328865979381444,0.6082474226804123,0.12463917525773205,0.17166907216494848,0.15969072164948467
all_candidates,claude-haiku-4-5,1,QP6,95,0.7589473684210524,0.5789473684210527,0.17999999999999972,0.21438315789473683,0.19473684210526315
all_candidates,claude-haiku-4-5,1,QP7,93,0.7603225806451612,0.5591397849462365,0.20118279569892472,0.20300967741935486,0.20118279569892492
all_candidates,claude-haiku-4-5,2,Quant-25,97,0.7628865979381443,0.6391752577319587,0.12371134020618557,0.18480618556701028,0.17628865979381458
all_candidates,claude-haiku-4-5,2,Quant-100,97,0.7478350515463918,0.6082474226804123,0.13958762886597953,0.1738082474226804,0.15402061855670118
all_candidates,claude-haiku-4-5,2,QP6,97,0.7504123711340205,0.5979381443298969,0.1524742268041236,0.1731082474226804,0.17103092783505158
all_candidates,claude-haiku-4-5,2,QP7,96,0.7914583333333333,0.6354166666666666,0.15604166666666663,0.17684791666666666,0.1768750000000001
all_candidates,deepseek-v4-pro,1,Quant-25,88,0.9801931818181818,0.8977272727272727,0.08246590909090912,0.09081139772727272,0.09042045454545442
all_candidates,deepseek-v4-pro,1,Quant-100,85,0.992105882352941,0.9529411764705882,0.03916470588235277,0.04327836470588236,0.03916470588235292
all_candidates,deepseek-v4-pro,1,QP6,89,0.995494382022472,0.9438202247191011,0.05167415730337088,0.05496855056179775,0.05167415730337088
all_candidates,deepseek-v4-pro,1,QP7,87,0.9905862068965515,0.9310344827586207,0.05955172413793086,0.069290908045977,0.06874712643678146
all_candidates,deepseek-v4-pro,2,Quant-25,89,0.9986516853932583,0.9213483146067416,0.07730337078651672,0.07821797752808989,0.07730337078651672
all_candidates,deepseek-v4-pro,2,Quant-100,92,0.9961847826086957,0.9456521739130435,0.05053260869565224,0.05254022826086956,0.05379347826086955
all_candidates,deepseek-v4-pro,2,QP6,90,0.9983333333333333,0.9444444444444444,0.053888888888888875,0.05450777777777777,0.053888888888888875
all_candidates,deepseek-v4-pro,2,QP7,87,0.9964367816091954,0.9425287356321839,0.05390804597701149,0.05651149425287355,0.05390804597701149
all_candidates,gemini-3.1-flash-lite-preview,1,Quant-25,99,0.9186868686868687,0.5959595959595959,0.32272727272727275,0.301540404040404,0.32272727272727275
all_candidates,gemini-3.1-flash-lite-preview,1,Quant-100,99,0.9085858585858586,0.5656565656565656,0.342929292929293,0.3145707070707071,0.342929292929293
all_candidates,gemini-3.1-flash-lite-preview,1,QP6,97,0.9688659793814431,0.5876288659793815,0.3812371134020617,0.3679422680412371,0.3812371134020618
all_candidates,gemini-3.1-flash-lite-preview,1,QP7,98,0.9678571428571427,0.5816326530612245,0.3862244897959183,0.367219387755102,0.3862244897959184
all_candidates,gemini-3.1-flash-lite-preview,2,Quant-25,100,0.949,0.6,0.349,0.33405,0.34900000000000003
all_candidates,gemini-3.1-flash-lite-preview,2,Quant-100,99,0.9449494949494951,0.6565656565656566,0.2883838383838385,0.29648989898989897,0.3045454545454545
all_candidates,gemini-3.1-flash-lite-preview,2,QP6,99,0.9419191919191919,0.6464646464646465,0.2954545454545454,0.30512626262626263,0.3217171717171717
all_candidates,gemini-3.1-flash-lite-preview,2,QP7,100,0.9690000000000001,0.62,0.3490000000000001,0.33535000000000004,0.3490000000000001
