cohort,model,intervention,setting,raw_bin,bin_label,n,correct,mean_confidence,candidate_accuracy,ci_low,ci_high
all_candidates,claude-haiku-4-5,1,Quant-25,0,0–10%,1,0,0.0,0.0,0.0,0.7934506856227626
all_candidates,claude-haiku-4-5,1,Quant-25,1,10–20%,0,0,,,,
all_candidates,claude-haiku-4-5,1,Quant-25,2,20–30%,6,0,0.25,0.0,2.7755575615628914e-17,0.3903342879021653
all_candidates,claude-haiku-4-5,1,Quant-25,3,30–40%,8,0,0.33749999999999997,0.0,0.0,0.32440756488388023
all_candidates,claude-haiku-4-5,1,Quant-25,4,40–50%,7,2,0.4357142857142858,0.2857142857142857,0.08221892400405678,0.6410655481673808
all_candidates,claude-haiku-4-5,1,Quant-25,5,50–60%,0,0,,,,
all_candidates,claude-haiku-4-5,1,Quant-25,6,60–70%,0,0,,,,
all_candidates,claude-haiku-4-5,1,Quant-25,7,70–80%,20,8,0.7435,0.4,0.21880653237281705,0.6134184992377469
all_candidates,claude-haiku-4-5,1,Quant-25,8,80–90%,8,6,0.85,0.75,0.40927543031016883,0.9285207872478909
all_candidates,claude-haiku-4-5,1,Quant-25,9,90–100%,46,38,0.9556521739130438,0.8260869565217391,0.692766462836215,0.9091420829775368
all_candidates,claude-haiku-4-5,1,Quant-100,0,0–10%,1,0,0.05,0.0,0.0,0.7934506856227626
all_candidates,claude-haiku-4-5,1,Quant-100,1,10–20%,2,0,0.15,0.0,0.0,0.6576197724933469
all_candidates,claude-haiku-4-5,1,Quant-100,2,20–30%,5,2,0.25,0.4,0.11762077423264783,0.769275718723987
all_candidates,claude-haiku-4-5,1,Quant-100,3,30–40%,13,2,0.34615384615384615,0.15384615384615385,0.043258178358081184,0.4223463101948254
all_candidates,claude-haiku-4-5,1,Quant-100,4,40–50%,7,2,0.44285714285714295,0.2857142857142857,0.08221892400405678,0.6410655481673808
all_candidates,claude-haiku-4-5,1,Quant-100,5,50–60%,0,0,,,,
all_candidates,claude-haiku-4-5,1,Quant-100,6,60–70%,2,0,0.65,0.0,0.0,0.6576197724933469
all_candidates,claude-haiku-4-5,1,Quant-100,7,70–80%,11,4,0.740909090909091,0.36363636363636365,0.15166471095367573,0.6461988254921511
all_candidates,claude-haiku-4-5,1,Quant-100,8,80–90%,13,12,0.8499999999999999,0.9230769230769231,0.6668604907890041,0.9862895787574435
all_candidates,claude-haiku-4-5,1,Quant-100,9,90–100%,43,37,0.9625581395348839,0.8604651162790697,0.7273641203261714,0.9344427657203511
all_candidates,claude-haiku-4-5,1,QP6,0,0–10%,0,0,,,,
all_candidates,claude-haiku-4-5,1,QP6,1,10–20%,1,0,0.15,0.0,0.0,0.7934506856227626
all_candidates,claude-haiku-4-5,1,QP6,2,20–30%,7,2,0.25,0.2857142857142857,0.08221892400405678,0.6410655481673808
all_candidates,claude-haiku-4-5,1,QP6,3,30–40%,7,1,0.34285714285714286,0.14285714285714285,0.02567962434474355,0.5131278292743189
all_candidates,claude-haiku-4-5,1,QP6,4,40–50%,8,1,0.4375,0.125,0.02241749145005667,0.4708881822128535
all_candidates,claude-haiku-4-5,1,QP6,5,50–60%,1,1,0.55,1.0,0.20654931437723745,1.0
all_candidates,claude-haiku-4-5,1,QP6,6,60–70%,5,2,0.6100000000000001,0.4,0.11762077423264783,0.769275718723987
all_candidates,claude-haiku-4-5,1,QP6,7,70–80%,8,3,0.75,0.375,0.13684428582359742,0.6942576053973727
all_candidates,claude-haiku-4-5,1,QP6,8,80–90%,8,5,0.85,0.625,0.30574239460262737,0.8631557141764026
all_candidates,claude-haiku-4-5,1,QP6,9,90–100%,50,40,0.9580000000000001,0.8,0.6696289406777459,0.887562499842239
all_candidates,claude-haiku-4-5,1,QP7,0,0–10%,1,0,0.0,0.0,0.0,0.7934506856227626
all_candidates,claude-haiku-4-5,1,QP7,1,10–20%,0,0,,,,
all_candidates,claude-haiku-4-5,1,QP7,2,20–30%,4,0,0.25,0.0,0.0,0.4898908364545973
all_candidates,claude-haiku-4-5,1,QP7,3,30–40%,11,2,0.33636363636363636,0.18181818181818182,0.05136768974608513,0.4769805619608442
all_candidates,claude-haiku-4-5,1,QP7,4,40–50%,7,2,0.45000000000000007,0.2857142857142857,0.08221892400405678,0.6410655481673808
all_candidates,claude-haiku-4-5,1,QP7,5,50–60%,1,0,0.5,0.0,0.0,0.7934506856227626
all_candidates,claude-haiku-4-5,1,QP7,6,60–70%,1,0,0.65,0.0,0.0,0.7934506856227626
all_candidates,claude-haiku-4-5,1,QP7,7,70–80%,12,2,0.7416666666666667,0.16666666666666666,0.04696514218385378,0.4480308622529734
all_candidates,claude-haiku-4-5,1,QP7,8,80–90%,9,6,0.85,0.6666666666666666,0.3542021355803963,0.879416181613089
all_candidates,claude-haiku-4-5,1,QP7,9,90–100%,47,40,0.9608510638297876,0.851063829787234,0.7231437757640644,0.9259328000356828
all_candidates,claude-haiku-4-5,2,Quant-25,0,0–10%,1,1,0.05,1.0,0.20654931437723745,1.0
all_candidates,claude-haiku-4-5,2,Quant-25,1,10–20%,2,0,0.15,0.0,0.0,0.6576197724933469
all_candidates,claude-haiku-4-5,2,Quant-25,2,20–30%,8,3,0.25,0.375,0.13684428582359742,0.6942576053973727
all_candidates,claude-haiku-4-5,2,Quant-25,3,30–40%,4,2,0.35,0.5,0.15003898915214947,0.8499610108478506
all_candidates,claude-haiku-4-5,2,Quant-25,4,40–50%,8,1,0.44375,0.125,0.02241749145005667,0.4708881822128535
all_candidates,claude-haiku-4-5,2,Quant-25,5,50–60%,0,0,,,,
all_candidates,claude-haiku-4-5,2,Quant-25,6,60–70%,6,1,0.6249999999999999,0.16666666666666666,0.030053369748306635,0.5635028221864702
all_candidates,claude-haiku-4-5,2,Quant-25,7,70–80%,11,4,0.7336363636363636,0.36363636363636365,0.15166471095367573,0.6461988254921511
all_candidates,claude-haiku-4-5,2,Quant-25,8,80–90%,2,1,0.85,0.5,0.09453120573423074,0.9054687942657693
all_candidates,claude-haiku-4-5,2,Quant-25,9,90–100%,55,49,0.9669090909090912,0.8909090909090909,0.7817445091344648,0.9490327499921767
all_candidates,claude-haiku-4-5,2,Quant-100,0,0–10%,2,0,0.05,0.0,0.0,0.6576197724933469
all_candidates,claude-haiku-4-5,2,Quant-100,1,10–20%,4,1,0.15,0.25,0.04558726080970055,0.6993581574175981
all_candidates,claude-haiku-4-5,2,Quant-100,2,20–30%,7,2,0.24285714285714285,0.2857142857142857,0.08221892400405678,0.6410655481673808
all_candidates,claude-haiku-4-5,2,Quant-100,3,30–40%,5,1,0.35,0.2,0.03622410863243014,0.6244653702374747
all_candidates,claude-haiku-4-5,2,Quant-100,4,40–50%,6,1,0.45,0.16666666666666666,0.030053369748306635,0.5635028221864702
all_candidates,claude-haiku-4-5,2,Quant-100,5,50–60%,0,0,,,,
all_candidates,claude-haiku-4-5,2,Quant-100,6,60–70%,3,1,0.6333333333333333,0.3333333333333333,0.06149194472039621,0.7923403991979522
all_candidates,claude-haiku-4-5,2,Quant-100,7,70–80%,16,5,0.7362500000000001,0.3125,0.14164643854782039,0.5559564416525933
all_candidates,claude-haiku-4-5,2,Quant-100,8,80–90%,2,1,0.835,0.5,0.09453120573423074,0.9054687942657693
all_candidates,claude-haiku-4-5,2,Quant-100,9,90–100%,52,47,0.9680769230769234,0.9038461538461539,0.7939036987986837,0.9582256489474276
all_candidates,claude-haiku-4-5,2,QP6,0,0–10%,2,1,0.05,0.5,0.09453120573423074,0.9054687942657693
