model,intervention,setting,n,unique_confidence,abstentions,spearman_rho,p_value,ci_low,ci_high
claude-haiku-4-5,1,Quant-25,96,15,21,-0.5658150993564908,1.887664571365179e-09,-0.6804678277706346,-0.42446489144981464
claude-haiku-4-5,1,Quant-100,97,15,25,-0.5597826107427862,2.5080189030920928e-09,-0.6985782985745161,-0.3833209525378913
claude-haiku-4-5,1,QP6,96,16,23,-0.7052509415069207,1.0464821531938333e-15,-0.7866969087325746,-0.6007111738465246
claude-haiku-4-5,1,QP7,94,15,14,-0.5661804192868876,2.7261526122270146e-09,-0.6743119854203681,-0.4291549023811609
claude-haiku-4-5,2,Quant-25,100,16,37,-0.5633425588500115,1.0498018418317565e-09,-0.6971278456221923,-0.41351280284147834
claude-haiku-4-5,2,Quant-100,100,20,38,-0.6678770831907,3.198639575442496e-14,-0.7766437676205439,-0.5393123547631539
claude-haiku-4-5,2,QP6,100,16,31,-0.6014062981360997,3.675009897730343e-11,-0.7113583679805813,-0.47309217624021027
claude-haiku-4-5,2,QP7,100,18,29,-0.6470651613928061,3.5018198123961704e-13,-0.7473578373348114,-0.5298543920500648
deepseek-v4-pro,1,Quant-25,93,9,5,-0.4493243649159812,6.246152291780121e-06,-0.598181472061998,-0.21529614862264496
deepseek-v4-pro,1,Quant-100,89,9,4,-0.4316623031889445,2.4044887230573385e-05,-0.6086977606083415,-0.2199296328370401
deepseek-v4-pro,1,QP6,91,5,1,0.06252609041254947,0.5560007787188515,0.05199210120199648,0.12400502292791127
deepseek-v4-pro,1,QP7,92,8,9,-0.43569614927111705,1.4192988737574532e-05,-0.5741137362020216,-0.2569325195991594
deepseek-v4-pro,2,Quant-25,98,4,11,-0.6186113859394508,1.137283857473254e-11,-0.8055164971258894,-0.3702730645598881
deepseek-v4-pro,2,Quant-100,98,7,18,-0.7517356684326947,4.70587304389253e-19,-0.9009250809827594,-0.5473670749272125
deepseek-v4-pro,2,QP6,98,5,11,-0.6972193345982456,1.525141132416248e-15,-0.8887567405611744,-0.440650180735643
deepseek-v4-pro,2,QP7,94,6,15,-0.7637163778550847,3.5185265656928787e-19,-0.9035616669853953,-0.5628992262137295
gemini-3.1-flash-lite-preview,1,Quant-25,100,9,21,-0.6100248063571104,1.6159658972712742e-11,-0.7341137632085317,-0.4609178874615687
gemini-3.1-flash-lite-preview,1,Quant-100,100,9,15,-0.5891164955433871,1.13773346435239e-10,-0.6941591349874762,-0.4487138145053905
gemini-3.1-flash-lite-preview,1,QP6,100,7,4,-0.402989928709593,3.2255339319035606e-05,-0.5582945325651448,-0.20663627041097973
gemini-3.1-flash-lite-preview,1,QP7,100,6,3,-0.33152306359721306,0.0007534109230816261,-0.48743181533411795,-0.19071285253299594
gemini-3.1-flash-lite-preview,2,Quant-25,100,7,32,-0.6076819930242822,2.0253169672950078e-11,-0.7516880066369028,-0.4380552883796502
gemini-3.1-flash-lite-preview,2,Quant-100,100,9,32,-0.38532367921105337,7.532988406769543e-05,-0.5685120147737591,-0.19050708021679216
gemini-3.1-flash-lite-preview,2,QP6,100,8,19,-0.5742474886136022,4.1973479289437335e-10,-0.7465433883946228,-0.3717390442172458
gemini-3.1-flash-lite-preview,2,QP7,100,6,13,-0.5237597715150879,2.247231178994575e-08,-0.6996727292350462,-0.31147884158121475
gpt-5.4-nano,1,Quant-25,100,30,56,-0.4509391283612196,2.4985482333649215e-06,-0.5996470185097471,-0.27663524310983856
gpt-5.4-nano,1,Quant-100,97,33,51,-0.43388837140883946,9.0018203406357e-06,-0.580782489711899,-0.25693174251683365
gpt-5.4-nano,1,QP6,94,29,31,-0.46256767655823317,2.6811756112400203e-06,-0.6155140453010672,-0.28503588353423837
gpt-5.4-nano,1,QP7,95,31,22,-0.5512359894428747,7.089809918470855e-09,-0.6611356126028753,-0.40691067054938396
gpt-5.4-nano,2,Quant-25,100,32,82,-0.5564108447662817,1.8482919518690483e-09,-0.6692409357710902,-0.42076125485556404
gpt-5.4-nano,2,Quant-100,99,34,76,-0.561321046585807,1.5053738403119957e-09,-0.6730059705058924,-0.4228522132548153
gpt-5.4-nano,2,QP6,100,36,91,-0.2984663898465731,0.0025596109062642346,-0.4626204189993106,-0.08233432100480058
gpt-5.4-nano,2,QP7,100,38,87,-0.33735957272017364,0.0005983008053575419,-0.4991322997056989,-0.14641928594399956
qwen3.5-397b,1,Quant-25,94,11,4,-0.37166800834593383,0.00022577271546104716,-0.5135101043479897,-0.18903882001814246
qwen3.5-397b,1,Quant-100,100,12,6,-0.40879011739222426,2.4157167504093725e-05,-0.5460264334313896,-0.23705456953387677
qwen3.5-397b,1,QP6,98,7,2,-0.2710615039700024,0.006940569004227876,-0.4363998321729828,-0.18665122223157415
qwen3.5-397b,1,QP7,94,10,2,-0.2826558187484582,0.005774660936036413,-0.4436685768462792,-0.193794034949472
qwen3.5-397b,2,Quant-25,99,9,18,-0.6435677105198836,6.751868483587016e-13,-0.7895379884223853,-0.4632886148102102
qwen3.5-397b,2,Quant-100,99,8,17,-0.5729302525157062,5.759315881904223e-10,-0.763185362327354,-0.36565599925601516
qwen3.5-397b,2,QP6,97,11,15,-0.6278821145439496,5.845768882835853e-12,-0.8018577138305276,-0.4007642504327593
qwen3.5-397b,2,QP7,92,10,12,-0.6640140845518954,5.396989527191497e-13,-0.8284810314443686,-0.453742621559187
