model,intervention,setting,n,unique_confidence,abstentions,spearman_rho,p_value,ci_low,ci_high
claude-haiku-4-5,1,Quant-25,92,15,21,-0.6165687098462307,6.010615115984233e-11,-0.7290126021345588,-0.471625653430361
claude-haiku-4-5,1,Quant-100,91,13,25,-0.6492071164323905,3.394860586104638e-12,-0.7730102718480989,-0.4726243648494964
claude-haiku-4-5,1,QP6,92,16,23,-0.7531867891872058,4.6992191866225226e-18,-0.8244161932751966,-0.6476222727105948
claude-haiku-4-5,1,QP7,88,15,14,-0.6329454581186388,3.68264657245742e-11,-0.7430070678926892,-0.48594606094335435
claude-haiku-4-5,2,Quant-25,100,16,37,-0.5633425588500115,1.0498018418317565e-09,-0.695474183586187,-0.4146261032176115
claude-haiku-4-5,2,Quant-100,100,20,38,-0.6678770831907,3.198639575442496e-14,-0.7716325790413376,-0.5378061214762759
claude-haiku-4-5,2,QP6,100,16,31,-0.6014062981360997,3.675009897730343e-11,-0.7117529683384719,-0.4595786037041498
claude-haiku-4-5,2,QP7,100,18,29,-0.6470651613928061,3.5018198123961704e-13,-0.744267832591562,-0.5262764428639735
deepseek-v4-pro,1,Quant-25,93,9,5,-0.4493243649159812,6.246152291780121e-06,-0.599150413371899,-0.21829231691064102
deepseek-v4-pro,1,Quant-100,89,9,4,-0.4316623031889445,2.4044887230573385e-05,-0.5991063842249355,-0.2197165273761025
deepseek-v4-pro,1,QP6,91,5,1,0.06252609041254947,0.5560007787188515,0.05032492027018328,0.12151102760060645
deepseek-v4-pro,1,QP7,91,8,9,-0.44050363489462707,1.244390707706255e-05,-0.5814740772912432,-0.25531303224386165
deepseek-v4-pro,2,Quant-25,98,4,11,-0.6186113859394508,1.137283857473254e-11,-0.8049731311011584,-0.37520628301363423
deepseek-v4-pro,2,Quant-100,98,7,18,-0.7517356684326947,4.70587304389253e-19,-0.9053894624098631,-0.5610821614582487
deepseek-v4-pro,2,QP6,98,5,11,-0.6972193345982456,1.525141132416248e-15,-0.8864063866598874,-0.4480772596164728
deepseek-v4-pro,2,QP7,94,6,15,-0.7637163778550847,3.5185265656928787e-19,-0.9025773911753936,-0.5771945607578346
gemini-3.1-flash-lite-preview,1,Quant-25,100,9,21,-0.6100248063571104,1.6159658972712742e-11,-0.73152988867909,-0.45820362716054813
gemini-3.1-flash-lite-preview,1,Quant-100,100,9,15,-0.5891164955433871,1.13773346435239e-10,-0.6974988582372881,-0.4529037567298311
gemini-3.1-flash-lite-preview,1,QP6,100,7,4,-0.402989928709593,3.2255339319035606e-05,-0.5606432418826779,-0.20694653883733083
gemini-3.1-flash-lite-preview,1,QP7,100,6,3,-0.33152306359721306,0.0007534109230816261,-0.49470895963480566,-0.19148742633367558
gemini-3.1-flash-lite-preview,2,Quant-25,100,7,32,-0.6076819930242822,2.0253169672950078e-11,-0.7563449910556662,-0.4320975633759399
gemini-3.1-flash-lite-preview,2,Quant-100,100,9,32,-0.38532367921105337,7.532988406769543e-05,-0.5714573474437447,-0.18063816492342896
gemini-3.1-flash-lite-preview,2,QP6,100,8,19,-0.5742474886136022,4.1973479289437335e-10,-0.7390461130322185,-0.37029363513785446
gemini-3.1-flash-lite-preview,2,QP7,100,6,13,-0.5237597715150879,2.247231178994575e-08,-0.7070339739552388,-0.3073994385439221
gpt-5.4-nano,1,Quant-25,92,27,56,-0.597987587500618,3.0930656167333144e-10,-0.7149678931370493,-0.4590919216551902
gpt-5.4-nano,1,Quant-100,85,30,51,-0.582029128670918,5.1480165157138685e-09,-0.7119508328040235,-0.430748455035953
gpt-5.4-nano,1,QP6,75,25,31,-0.6836927548786119,1.380821236033569e-11,-0.808236453311668,-0.5099195545844049
gpt-5.4-nano,1,QP7,80,26,22,-0.7436946458532478,2.739798845278201e-15,-0.8152098983802467,-0.6329734768460845
gpt-5.4-nano,2,Quant-25,100,32,82,-0.5564108447662817,1.8482919518690483e-09,-0.6644171532450985,-0.41083267166087545
gpt-5.4-nano,2,Quant-100,99,34,76,-0.561321046585807,1.5053738403119957e-09,-0.6743502388342054,-0.42819965097503376
gpt-5.4-nano,2,QP6,100,36,91,-0.2984663898465731,0.0025596109062642346,-0.46545061004726673,-0.0998600922821014
gpt-5.4-nano,2,QP7,100,38,87,-0.33735957272017364,0.0005983008053575419,-0.49467987771096444,-0.1284829707592054
qwen3.5-397b,1,Quant-25,94,11,4,-0.37166800834593383,0.00022577271546104716,-0.5126305441536777,-0.1894445589835164
qwen3.5-397b,1,Quant-100,98,12,6,-0.4123851110157013,2.4496575518319827e-05,-0.5430472144884567,-0.24263026758772865
qwen3.5-397b,1,QP6,96,7,2,-0.2753943704657343,0.00661395950359779,-0.4344637787313959,-0.18781197461010227
qwen3.5-397b,1,QP7,90,10,2,-0.28935486960640683,0.00567266535343568,-0.46396444720839325,-0.19859047456792103
qwen3.5-397b,2,Quant-25,99,9,18,-0.6435677105198836,6.751868483587016e-13,-0.7943182810612444,-0.4761912822159473
qwen3.5-397b,2,Quant-100,99,8,17,-0.5729302525157062,5.759315881904223e-10,-0.7519762195208678,-0.3622198221724571
qwen3.5-397b,2,QP6,97,11,15,-0.6278821145439496,5.845768882835853e-12,-0.8053075350275786,-0.4061947709736467
qwen3.5-397b,2,QP7,92,10,12,-0.6640140845518954,5.396989527191497e-13,-0.8217732248323819,-0.4587644273463158
