model,intervention,contrast,low_setting,high_setting,adjusted_abstention_difference,ci_low,ci_high,bootstrap_p_value,common_support_n,overlap_low,overlap_high,bootstrap_successes,bootstrap_failures,fit_status,ridge_penalty,working_correlation,bh_q_value_primary_int2
claude-haiku-4-5,1,Quant-100 − Quant-25,Quant-25,Quant-100,-0.002898911180720826,-0.08398186448931054,0.08407984172772143,0.961,192,0.05,0.99,2000,0,ok,0.0001,independence,
claude-haiku-4-5,1,QP7 − QP6,QP6,QP7,-0.0853659137028225,-0.152944421353243,-0.026582342885399162,0.002,189,0.15,0.99,2000,0,ok,0.0001,independence,
claude-haiku-4-5,2,Quant-100 − Quant-25,Quant-25,Quant-100,0.0008518742914883222,-0.0866573057782793,0.09325647298338946,0.97,198,0.05,0.99,2000,0,ok,0.0001,independence,0.97
claude-haiku-4-5,2,QP7 − QP6,QP6,QP7,0.002538754183024421,-0.0936173128904588,0.09975775832190797,0.927,199,0.05,0.99,2000,0,ok,0.0001,independence,0.97
deepseek-v4-pro,1,Quant-100 − Quant-25,Quant-25,Quant-100,-0.01695343985222304,-0.04589089907940216,0.0033236921550029823,0.144,182,0.0,1.0,2000,0,ok,0.0001,independence,
deepseek-v4-pro,1,QP7 − QP6,QP6,QP7,0.07005935223620183,0.024606722002080694,0.12274102150653221,0.0004997501249375312,180,0.95,1.0,2000,0,ok,0.0001,independence,
deepseek-v4-pro,2,Quant-100 − Quant-25,Quant-25,Quant-100,0.05661306159843407,-0.03042738800503343,0.1369914929455489,0.194,196,0.0,1.0,2000,0,ok,0.0001,independence,0.6375
deepseek-v4-pro,2,QP7 − QP6,QP6,QP7,0.026141970993596695,-0.04354317996957209,0.09940749979419866,0.491,192,0.0,1.0,2000,0,ok,0.0001,independence,0.8183333333333334
gemini-3.1-flash-lite-preview,1,Quant-100 − Quant-25,Quant-25,Quant-100,-0.036619752410440895,-0.12010203924230557,0.054465519316210007,0.403,199,0.1,1.0,2000,0,ok,0.0001,independence,
gemini-3.1-flash-lite-preview,1,QP7 − QP6,QP6,QP7,-0.0191548137634192,-0.05073867686528544,0.004933878542061091,0.132,198,0.1,1.0,2000,0,ok,0.0001,independence,
gemini-3.1-flash-lite-preview,2,Quant-100 − Quant-25,Quant-25,Quant-100,0.007587477875776959,-0.09706198689818805,0.10163155997253652,0.888,198,0.1,1.0,2000,0,ok,0.0001,independence,0.97
gemini-3.1-flash-lite-preview,2,QP7 − QP6,QP6,QP7,-0.056714256796278346,-0.13935108287687215,0.033737424179345506,0.214,199,0.1,1.0,2000,0,ok,0.0001,independence,0.6375
gpt-5.4-nano,1,Quant-100 − Quant-25,Quant-25,Quant-100,-0.037623925761518566,-0.15403884394395218,0.07842908576579696,0.518,196,0.05,0.99,2000,0,ok,0.0001,independence,
gpt-5.4-nano,1,QP7 − QP6,QP6,QP7,-0.09467394143253503,-0.19994159264326467,0.01101921384319043,0.073,188,0.05,0.99,2000,0,ok,0.0001,independence,
gpt-5.4-nano,2,Quant-100 − Quant-25,Quant-25,Quant-100,-0.040269693959936105,-0.11732727130101522,0.04421589646050472,0.335,198,0.02,0.99,2000,0,ok,0.0001,independence,0.67
gpt-5.4-nano,2,QP7 − QP6,QP6,QP7,-0.06470690822064899,-0.12770284930309128,-0.0024739197993802566,0.043,199,0.02,0.99,2000,0,ok,0.0001,independence,0.42999999999999994
qwen3.5-397b,1,Quant-100 − Quant-25,Quant-25,Quant-100,0.026498247858096017,-0.00037471172865914773,0.05386740618499817,0.058,194,0.0,1.0,2000,0,ok,0.0001,independence,
qwen3.5-397b,1,QP7 − QP6,QP6,QP7,0.0012470053907329968,-0.010192165541707859,0.024901925508782653,0.675,192,0.0,1.0,2000,0,ok,0.0001,independence,
qwen3.5-397b,2,Quant-100 − Quant-25,Quant-25,Quant-100,0.0405576793870178,-0.02838847537948049,0.10627620795506564,0.255,198,0.0,1.0,2000,0,ok,0.0001,independence,0.6375
qwen3.5-397b,2,QP7 − QP6,QP6,QP7,-0.010230757080944867,-0.07692674297919402,0.06071021536719378,0.756,189,0.0,1.0,2000,0,ok,0.0001,independence,0.97
