model,intervention,contrast,low_setting,high_setting,n_paired,mean_difference,median_difference,ci_low,ci_high
claude-haiku-4-5,1,Quant-100 − Quant-25,Quant-25,Quant-100,94,-0.017446808510638304,0.0,-0.04383244680851064,0.01000531914893613
claude-haiku-4-5,1,QP7 − QP6,QP6,QP7,90,0.009999999999999998,0.0,-0.018447222222222222,0.03900555555555552
claude-haiku-4-5,2,Quant-100 − Quant-25,Quant-25,Quant-100,100,-0.014300000000000002,0.0,-0.0720075,0.04121249999999992
claude-haiku-4-5,2,QP7 − QP6,QP6,QP7,100,0.0414,0.0,-0.010907499999999999,0.09220249999999998
deepseek-v4-pro,1,Quant-100 − Quant-25,Quant-25,Quant-100,88,0.001965909090909093,0.0,-0.0028068181818181816,0.0074210227272727275
deepseek-v4-pro,1,QP7 − QP6,QP6,QP7,90,-0.016533333333333334,0.0,-0.04286694444444445,-0.0010000000000000009
deepseek-v4-pro,2,Quant-100 − Quant-25,Quant-25,Quant-100,96,0.018427083333333334,0.0,-0.031064583333333336,0.06800312499999998
deepseek-v4-pro,2,QP7 − QP6,QP6,QP7,92,0.00923913043478261,0.0,-0.0241304347826087,0.04359239130434779
gemini-3.1-flash-lite-preview,1,Quant-100 − Quant-25,Quant-25,Quant-100,100,-0.0015000000000000057,0.0,-0.038000000000000006,0.031999999999999994
gemini-3.1-flash-lite-preview,1,QP7 − QP6,QP6,QP7,100,0.00019999999999999795,0.0,-0.018600000000000002,0.025699999999999997
gemini-3.1-flash-lite-preview,2,Quant-100 − Quant-25,Quant-25,Quant-100,100,-0.0034999999999999953,0.0,-0.0515125,0.044
gemini-3.1-flash-lite-preview,2,QP7 − QP6,QP6,QP7,100,0.0275,0.0,-0.009999999999999998,0.0695
gpt-5.4-nano,1,Quant-100 − Quant-25,Quant-25,Quant-100,97,-0.0188659793814433,0.0,-0.06382216494845361,0.025778350515463885
gpt-5.4-nano,1,QP7 − QP6,QP6,QP7,91,-0.007802197802197799,0.0,-0.057145604395604385,0.044837912087912095
gpt-5.4-nano,2,Quant-100 − Quant-25,Quant-25,Quant-100,99,-0.0020202020202020193,0.0,-0.06525757575757576,0.05717676767676765
gpt-5.4-nano,2,QP7 − QP6,QP6,QP7,100,-0.0564,-0.02500000000000001,-0.10420249999999999,-0.011597500000000005
qwen3.5-397b,1,Quant-100 − Quant-25,Quant-25,Quant-100,94,0.010936170212765963,0.0050000000000000044,-0.01197952127659574,0.03940558510638298
qwen3.5-397b,1,QP7 − QP6,QP6,QP7,92,0.0030097826086956537,0.0,-0.013734836956521737,0.01986304347826085
qwen3.5-397b,2,Quant-100 − Quant-25,Quant-25,Quant-100,98,0.0039795918367346965,0.0,-0.04102551020408163,0.0516326530612245
qwen3.5-397b,2,QP7 − QP6,QP6,QP7,90,-0.03822222222222222,0.0,-0.09822777777777777,0.015222222222222224
