model,intervention,setting,n,unique_confidence,mean,std,q1,median,q3
claude-haiku-4-5,1,Quant-25,96,15,0.7591666666666667,0.2548670103847419,0.715,0.85,0.95
claude-haiku-4-5,1,Quant-100,97,15,0.7328865979381444,0.27634126985066926,0.45,0.85,0.95
claude-haiku-4-5,1,QP6,96,16,0.7609375000000002,0.26162278238555203,0.5875,0.92,0.95
claude-haiku-4-5,1,QP7,94,15,0.7627659574468084,0.2625286640993791,0.5375,0.92,0.95
claude-haiku-4-5,2,Quant-25,100,16,0.7533999999999998,0.2856437705190919,0.5625,0.92,0.99
claude-haiku-4-5,2,Quant-100,100,20,0.7391,0.2981664337617872,0.45,0.92,0.98
claude-haiku-4-5,2,QP6,100,16,0.7368999999999999,0.29309113623822564,0.45,0.885,0.99
claude-haiku-4-5,2,QP7,100,18,0.7783,0.25917138746553037,0.65,0.95,0.99
deepseek-v4-pro,1,Quant-25,93,9,0.9692150537634407,0.14939973004037985,0.99,1.0,1.0
deepseek-v4-pro,1,Quant-100,89,9,0.9812247191011236,0.10961127107035498,0.999,1.0,1.0
deepseek-v4-pro,1,QP6,91,5,0.9955934065934064,0.010767211567199984,0.9944999999999999,1.0,1.0
deepseek-v4-pro,1,QP7,92,8,0.9696847826086956,0.14436141530001967,0.99,0.999,1.0
deepseek-v4-pro,2,Quant-25,98,4,0.9069387755102041,0.2899107867157675,1.0,1.0,1.0
deepseek-v4-pro,2,Quant-100,98,7,0.9351938775510205,0.2407487743131067,1.0,1.0,1.0
deepseek-v4-pro,2,QP6,98,5,0.9168367346938775,0.27485552695644705,1.0,1.0,1.0
deepseek-v4-pro,2,QP7,94,6,0.9222340425531916,0.26331286536210585,1.0,1.0,1.0
gemini-3.1-flash-lite-preview,1,Quant-25,100,9,0.9105000000000001,0.17585218195686372,0.9,0.95,1.0
gemini-3.1-flash-lite-preview,1,Quant-100,100,9,0.909,0.19635311419619872,0.95,0.95,1.0
gemini-3.1-flash-lite-preview,1,QP6,100,7,0.9503,0.16684508631746645,0.95,1.0,1.0
gemini-3.1-flash-lite-preview,1,QP7,100,6,0.9505,0.1334270503975029,0.95,1.0,1.0
gemini-3.1-flash-lite-preview,2,Quant-25,100,7,0.949,0.16951803336625762,1.0,1.0,1.0
gemini-3.1-flash-lite-preview,2,Quant-100,100,9,0.9455000000000001,0.1868255546727692,1.0,1.0,1.0
gemini-3.1-flash-lite-preview,2,QP6,100,8,0.9415,0.1818889382524013,0.95,1.0,1.0
gemini-3.1-flash-lite-preview,2,QP7,100,6,0.9690000000000001,0.10243993066153156,0.95,1.0,1.0
gpt-5.4-nano,1,Quant-25,100,30,0.6940999999999998,0.2850450788378866,0.41,0.845,0.93
gpt-5.4-nano,1,Quant-100,97,33,0.6843298969072165,0.28951434627843736,0.46,0.78,0.93
gpt-5.4-nano,1,QP6,94,29,0.7311702127659573,0.2978628405681919,0.62,0.86,0.96
gpt-5.4-nano,1,QP7,95,31,0.7289473684210528,0.2678538569627281,0.565,0.86,0.935
gpt-5.4-nano,2,Quant-25,100,32,0.534,0.306198588758302,0.18,0.62,0.765
gpt-5.4-nano,2,Quant-100,99,34,0.5301010101010101,0.30127448651264693,0.2,0.62,0.765
gpt-5.4-nano,2,QP6,100,36,0.5821,0.3023186324981567,0.25,0.62,0.86
gpt-5.4-nano,2,QP7,100,38,0.5257000000000001,0.308663639621259,0.18,0.62,0.78
qwen3.5-397b,1,Quant-25,94,11,0.9480851063829788,0.16400417379782395,0.98,0.99,0.99
qwen3.5-397b,1,Quant-100,100,12,0.9603200000000001,0.12018494838448705,0.9875,0.995,0.99925
qwen3.5-397b,1,QP6,98,7,0.9674489795918367,0.12119092225956239,0.99,1.0,1.0
qwen3.5-397b,1,QP7,94,10,0.9682648936170214,0.138763123535089,0.99,1.0,1.0
qwen3.5-397b,2,Quant-25,99,9,0.9314141414141415,0.22144244242733566,0.98,1.0,1.0
qwen3.5-397b,2,Quant-100,99,8,0.9353535353535353,0.22907227774493205,0.995,1.0,1.0
qwen3.5-397b,2,QP6,97,11,0.937938144329897,0.21456806488234442,1.0,1.0,1.0
qwen3.5-397b,2,QP7,92,10,0.9085869565217394,0.2709267023933897,1.0,1.0,1.0
