model,model_display,bin_index,bin_label,n,correct,mean_confidence,candidate_accuracy,absolute_calibration_gap,ece_contribution,accuracy_ci_low,accuracy_ci_high
claude-haiku-4-5,Claude Haiku 4.5,0,0–10%,5,2,0.05,0.4,0.35000000000000003,0.004521963824289406,0.11762077423264783,0.769275718723987
claude-haiku-4-5,Claude Haiku 4.5,1,10–20%,10,2,0.14999999999999997,0.2,0.050000000000000044,0.0012919896640826885,0.05668215145437519,0.5098375284633583
claude-haiku-4-5,Claude Haiku 4.5,2,20–30%,26,7,0.24615384615384617,0.2692307692307692,0.02307692307692305,0.001550387596899223,0.13704448322018375,0.4608304037917617
claude-haiku-4-5,Claude Haiku 4.5,3,30–40%,23,5,0.34565217391304337,0.21739130434782608,0.1282608695652173,0.007622739018087849,0.09663978026586204,0.4190348301626401
claude-haiku-4-5,Claude Haiku 4.5,4,40–50%,24,4,0.4479166666666667,0.16666666666666666,0.28125,0.01744186046511628,0.06678676328632951,0.3585307064969906
claude-haiku-4-5,Claude Haiku 4.5,5,50–60%,1,0,0.55,0.0,0.55,0.0014211886304909562,0.0,0.7934506856227626
claude-haiku-4-5,Claude Haiku 4.5,6,60–70%,19,4,0.6394736842105263,0.21052631578947367,0.42894736842105263,0.021059431524547804,0.08507676632916253,0.43334278443814167
claude-haiku-4-5,Claude Haiku 4.5,7,70–80%,56,19,0.7346428571428572,0.3392857142857143,0.39535714285714285,0.05720930232558139,0.2291997240159191,0.4700054699293978
claude-haiku-4-5,Claude Haiku 4.5,8,80–90%,12,6,0.8474999999999998,0.5,0.3474999999999998,0.010775193798449606,0.2537815976337061,0.7462184023662939
claude-haiku-4-5,Claude Haiku 4.5,9,90–100%,211,191,0.9689573459715639,0.9052132701421801,0.0637440758293838,0.03475452196382424,0.8581347727899553,0.9378009881132323
deepseek-v4-pro,DeepSeek V4 Pro,0,0–10%,0,0,,,,0.0,,
deepseek-v4-pro,DeepSeek V4 Pro,1,10–20%,0,0,,,,0.0,,
deepseek-v4-pro,DeepSeek V4 Pro,2,20–30%,0,0,,,,0.0,,
deepseek-v4-pro,DeepSeek V4 Pro,3,30–40%,0,0,,,,0.0,,
deepseek-v4-pro,DeepSeek V4 Pro,4,40–50%,0,0,,,,0.0,,
deepseek-v4-pro,DeepSeek V4 Pro,5,50–60%,0,0,,,,0.0,,
deepseek-v4-pro,DeepSeek V4 Pro,6,60–70%,0,0,,,,0.0,,
deepseek-v4-pro,DeepSeek V4 Pro,7,70–80%,0,0,,,,0.0,,
deepseek-v4-pro,DeepSeek V4 Pro,8,80–90%,1,1,0.85,1.0,0.15000000000000002,0.00041666666666666675,0.20654931437723745,1.0
deepseek-v4-pro,DeepSeek V4 Pro,9,90–100%,359,336,0.997824512534819,0.935933147632312,0.06189136490250702,0.0617194444444445,0.9057028016906022,0.9569329098328586
gemini-3.1-flash-lite-preview,Gemini 3.1 Flash Lite,0,0–10%,3,0,0.03333333333333333,0.0,0.03333333333333333,0.00025125628140703515,5.551115123125783e-17,0.5614970317550454
gemini-3.1-flash-lite-preview,Gemini 3.1 Flash Lite,1,10–20%,8,1,0.1,0.125,0.024999999999999994,0.0005025125628140703,0.02241749145005667,0.4708881822128535
gemini-3.1-flash-lite-preview,Gemini 3.1 Flash Lite,2,20–30%,1,1,0.2,1.0,0.8,0.0020100502512562816,0.20654931437723745,1.0
gemini-3.1-flash-lite-preview,Gemini 3.1 Flash Lite,3,30–40%,0,0,,,,0.0,,
gemini-3.1-flash-lite-preview,Gemini 3.1 Flash Lite,4,40–50%,0,0,,,,0.0,,
gemini-3.1-flash-lite-preview,Gemini 3.1 Flash Lite,5,50–60%,3,1,0.5,0.3333333333333333,0.16666666666666669,0.001256281407035176,0.06149194472039621,0.7923403991979522
gemini-3.1-flash-lite-preview,Gemini 3.1 Flash Lite,6,60–70%,1,0,0.6,0.0,0.6,0.001507537688442211,0.0,0.7934506856227626
gemini-3.1-flash-lite-preview,Gemini 3.1 Flash Lite,7,70–80%,3,0,0.6999999999999998,0.0,0.6999999999999998,0.005276381909547738,5.551115123125783e-17,0.5614970317550454
gemini-3.1-flash-lite-preview,Gemini 3.1 Flash Lite,8,80–90%,4,0,0.825,0.0,0.825,0.008291457286432161,0.0,0.4898908364545973
