model,model_display,setting,bin_type,bin_index,bin_label,n,abstentions,abstention_rate,ci_low,ci_high,confidence_mean,confidence_min,confidence_max
claude-haiku-4-5,Claude Haiku 4.5,Quant-25,percentile_bin,0,0–10%,13,1,0.07692307692307693,0.013710421242556586,0.3331395092109959,0.20769230769230768,0.05,0.25
claude-haiku-4-5,Claude Haiku 4.5,Quant-25,percentile_bin,1,10–20%,5,0,0.0,0.0,0.43448246478317476,0.36,0.35,0.4
claude-haiku-4-5,Claude Haiku 4.5,Quant-25,percentile_bin,2,20–30%,13,0,0.0,0.0,0.22809537235419838,0.5307692307692308,0.45,0.65
claude-haiku-4-5,Claude Haiku 4.5,Quant-25,percentile_bin,3,30–40%,11,0,0.0,0.0,0.2588329669680317,0.7336363636363636,0.72,0.75
claude-haiku-4-5,Claude Haiku 4.5,Quant-25,percentile_bin,4,40–50%,9,0,0.0,0.0,0.2991450484195441,0.9044444444444445,0.85,0.92
claude-haiku-4-5,Claude Haiku 4.5,Quant-25,percentile_bin,5,50–60%,0,0,,,,,,
claude-haiku-4-5,Claude Haiku 4.5,Quant-25,percentile_bin,6,60–70%,19,0,0.0,0.0,0.16817922405261626,0.9499999999999998,0.95,0.95
claude-haiku-4-5,Claude Haiku 4.5,Quant-25,percentile_bin,7,70–80%,2,0,0.0,0.0,0.6576197724933469,0.98,0.98,0.98
claude-haiku-4-5,Claude Haiku 4.5,Quant-25,percentile_bin,8,80–90%,28,0,0.0,1.3877787807814457e-17,0.12064330476584563,0.9899999999999997,0.99,0.99
claude-haiku-4-5,Claude Haiku 4.5,Quant-25,percentile_bin,9,90–100%,0,0,,,,,,
claude-haiku-4-5,Claude Haiku 4.5,Quant-100,percentile_bin,0,0–10%,8,1,0.125,0.02241749145005667,0.4708881822128535,0.1125,0.0,0.2
claude-haiku-4-5,Claude Haiku 4.5,Quant-100,percentile_bin,1,10–20%,11,0,0.0,0.0,0.2588329669680317,0.29545454545454547,0.25,0.35
claude-haiku-4-5,Claude Haiku 4.5,Quant-100,percentile_bin,2,20–30%,10,0,0.0,0.0,0.2775327998628892,0.505,0.45,0.65
claude-haiku-4-5,Claude Haiku 4.5,Quant-100,percentile_bin,3,30–40%,7,0,0.0,5.551115123125783e-17,0.35433043506668743,0.7142857142857143,0.7,0.72
claude-haiku-4-5,Claude Haiku 4.5,Quant-100,percentile_bin,4,40–50%,16,0,0.0,0.0,0.1936076805344365,0.8156249999999999,0.75,0.92
claude-haiku-4-5,Claude Haiku 4.5,Quant-100,percentile_bin,5,50–60%,0,0,,,,,,
claude-haiku-4-5,Claude Haiku 4.5,Quant-100,percentile_bin,6,60–70%,21,0,0.0,0.0,0.154639018924847,0.9499999999999998,0.95,0.95
claude-haiku-4-5,Claude Haiku 4.5,Quant-100,percentile_bin,7,70–80%,3,0,0.0,5.551115123125783e-17,0.5614970317550454,0.98,0.98,0.98
claude-haiku-4-5,Claude Haiku 4.5,Quant-100,percentile_bin,8,80–90%,23,0,0.0,0.0,0.14311661845042686,0.9899999999999995,0.99,0.99
claude-haiku-4-5,Claude Haiku 4.5,Quant-100,percentile_bin,9,90–100%,1,0,0.0,0.0,0.7934506856227626,1.0,1.0,1.0
claude-haiku-4-5,Claude Haiku 4.5,QP6,percentile_bin,0,0–10%,13,1,0.07692307692307693,0.013710421242556586,0.3331395092109959,0.19230769230769232,0.05,0.25
claude-haiku-4-5,Claude Haiku 4.5,QP6,percentile_bin,1,10–20%,9,0,0.0,0.0,0.2991450484195441,0.34444444444444444,0.3,0.35
claude-haiku-4-5,Claude Haiku 4.5,QP6,percentile_bin,2,20–30%,8,1,0.125,0.02241749145005667,0.4708881822128535,0.55,0.45,0.65
