model,model_display,setting,bin_type,bin_index,bin_label,n,abstentions,abstention_rate,ci_low,ci_high,confidence_mean,confidence_min,confidence_max
claude-haiku-4-5,Claude Haiku 4.5,Quant-25,percentile_bin,0,0–10%,11,1,0.09090909090909091,0.016232172885884855,0.37735843645159567,0.3370454545454545,0.05,0.425
claude-haiku-4-5,Claude Haiku 4.5,Quant-25,percentile_bin,1,10–20%,9,0,0.0,0.0,0.2991450484195441,0.49444444444444446,0.4375,0.525
claude-haiku-4-5,Claude Haiku 4.5,Quant-25,percentile_bin,2,20–30%,10,0,0.0,0.0,0.2775327998628892,0.5744999999999999,0.5375,0.6
claude-haiku-4-5,Claude Haiku 4.5,Quant-25,percentile_bin,3,30–40%,9,0,0.0,0.0,0.2991450484195441,0.6427777777777778,0.61,0.675
claude-haiku-4-5,Claude Haiku 4.5,Quant-25,percentile_bin,4,40–50%,10,0,0.0,0.0,0.2775327998628892,0.72025,0.6799999999999999,0.75
claude-haiku-4-5,Claude Haiku 4.5,Quant-25,percentile_bin,5,50–60%,10,0,0.0,0.0,0.2775327998628892,0.82725,0.7749999999999999,0.9375
claude-haiku-4-5,Claude Haiku 4.5,Quant-25,percentile_bin,6,60–70%,11,0,0.0,0.0,0.2588329669680317,0.9504545454545454,0.9425,0.96
claude-haiku-4-5,Claude Haiku 4.5,Quant-25,percentile_bin,7,70–80%,9,0,0.0,0.0,0.2991450484195441,0.9763888888888889,0.9675,0.98
claude-haiku-4-5,Claude Haiku 4.5,Quant-25,percentile_bin,8,80–90%,2,0,0.0,0.0,0.6576197724933469,0.9875,0.9875,0.9875
claude-haiku-4-5,Claude Haiku 4.5,Quant-25,percentile_bin,9,90–100%,19,0,0.0,0.0,0.16817922405261626,0.9901315789473683,0.99,0.9924999999999999
claude-haiku-4-5,Claude Haiku 4.5,Quant-100,percentile_bin,0,0–10%,11,1,0.09090909090909091,0.016232172885884855,0.37735843645159567,0.3370454545454545,0.05,0.425
claude-haiku-4-5,Claude Haiku 4.5,Quant-100,percentile_bin,1,10–20%,9,0,0.0,0.0,0.2991450484195441,0.49444444444444446,0.4375,0.525
claude-haiku-4-5,Claude Haiku 4.5,Quant-100,percentile_bin,2,20–30%,10,0,0.0,0.0,0.2775327998628892,0.5745,0.5375,0.6
claude-haiku-4-5,Claude Haiku 4.5,Quant-100,percentile_bin,3,30–40%,9,0,0.0,0.0,0.2991450484195441,0.6427777777777778,0.61,0.675
claude-haiku-4-5,Claude Haiku 4.5,Quant-100,percentile_bin,4,40–50%,10,0,0.0,0.0,0.2775327998628892,0.7202500000000001,0.6799999999999999,0.75
claude-haiku-4-5,Claude Haiku 4.5,Quant-100,percentile_bin,5,50–60%,10,0,0.0,0.0,0.2775327998628892,0.8272499999999999,0.7749999999999999,0.9375
claude-haiku-4-5,Claude Haiku 4.5,Quant-100,percentile_bin,6,60–70%,11,0,0.0,0.0,0.2588329669680317,0.9504545454545453,0.9425,0.96
claude-haiku-4-5,Claude Haiku 4.5,Quant-100,percentile_bin,7,70–80%,9,0,0.0,0.0,0.2991450484195441,0.9763888888888889,0.9675,0.98
claude-haiku-4-5,Claude Haiku 4.5,Quant-100,percentile_bin,8,80–90%,2,0,0.0,0.0,0.6576197724933469,0.9875,0.9875,0.9875
claude-haiku-4-5,Claude Haiku 4.5,Quant-100,percentile_bin,9,90–100%,19,0,0.0,0.0,0.16817922405261626,0.9901315789473683,0.99,0.9924999999999999
