proxy,model,model_display,setting,n,unique_problems,baseline_abstentions,baseline_abstention_rate,abstention_ci_low,abstention_ci_high,mean_confidence,median_confidence,abstained_mean_confidence,submitted_mean_confidence,abstained_minus_submitted_confidence
setting_matched,claude-haiku-4-5,Claude Haiku 4.5,Quant-25,100,100,1,0.01,0.0017674320641406505,0.054486196178705315,0.7534000000000002,0.92,0.1,0.7600000000000001,-0.6600000000000001
setting_matched,claude-haiku-4-5,Claude Haiku 4.5,Quant-100,100,100,1,0.01,0.0017674320641406505,0.054486196178705315,0.7391000000000001,0.92,0.0,0.7465656565656567,-0.7465656565656567
setting_matched,claude-haiku-4-5,Claude Haiku 4.5,QP6,100,100,2,0.02,0.00550196755016235,0.07001179072854388,0.7369,0.885,0.375,0.7442857142857142,-0.3692857142857142
setting_matched,claude-haiku-4-5,Claude Haiku 4.5,QP7,100,100,1,0.01,0.0017674320641406505,0.054486196178705315,0.7783000000000001,0.95,0.0,0.7861616161616163,-0.7861616161616163
setting_matched,claude-haiku-4-5,Claude Haiku 4.5,Pooled,400,100,5,0.0125,0.005350750779971611,0.028923736195967484,0.751925,0.92,0.16999999999999998,0.7592911392405062,-0.5892911392405062
setting_matched,deepseek-v4-pro,DeepSeek V4 Pro,Quant-25,93,93,2,0.021505376344086023,0.005917499808404975,0.07505462634691146,0.9450537634408601,1.0,0.495,0.9549450549450549,-0.4599450549450549
setting_matched,deepseek-v4-pro,DeepSeek V4 Pro,Quant-100,96,96,1,0.010416666666666666,0.0018411702168162486,0.056666176227157854,0.95478125,1.0,0.0,0.9648315789473684,-0.9648315789473684
setting_matched,deepseek-v4-pro,DeepSeek V4 Pro,QP6,93,93,2,0.021505376344086023,0.005917499808404975,0.07505462634691146,0.9661290322580645,1.0,0.475,0.976923076923077,-0.501923076923077
setting_matched,deepseek-v4-pro,DeepSeek V4 Pro,QP7,89,89,1,0.011235955056179775,0.001986183228256385,0.060932462115046646,0.9740449438202247,1.0,1.0,0.97375,0.026249999999999996
setting_matched,deepseek-v4-pro,DeepSeek V4 Pro,Pooled,371,98,6,0.016172506738544475,0.0074325399924475635,0.03482921747305176,0.9598086253369272,1.0,0.49,0.9675315068493151,-0.4775315068493151
