model,model_display,setting,threshold,n,baseline_abstentions,decision_agreement_rate,should_abstain_n,under_abstention_n,under_abstention_rate
claude-haiku-4-5,Claude Haiku 4.5,Quant-25,0.9615384615384616,100,1,0.31,70,69,0.9857142857142858
claude-haiku-4-5,Claude Haiku 4.5,Quant-100,0.9900990099009901,100,1,0.02,99,98,0.98989898989899
deepseek-v4-pro,DeepSeek V4 Pro,Quant-25,0.9615384615384616,93,2,0.946236559139785,5,4,0.8
deepseek-v4-pro,DeepSeek V4 Pro,Quant-100,0.9900990099009901,96,1,0.8645833333333334,14,13,0.9285714285714286
gemini-3.1-flash-lite-preview,Gemini 3.1 Flash Lite,Quant-25,0.9615384615384616,100,0,0.77,23,23,1.0
gemini-3.1-flash-lite-preview,Gemini 3.1 Flash Lite,Quant-100,0.9900990099009901,100,0,0.77,23,23,1.0
gpt-5.4-nano,GPT-5.4 Nano,Quant-25,0.9615384615384616,100,3,0.08,95,92,0.968421052631579
gpt-5.4-nano,GPT-5.4 Nano,Quant-100,0.9900990099009901,99,4,0.04040404040404041,99,95,0.9595959595959596
qwen3.5-397b,Qwen3.5-397B,Quant-25,0.9615384615384616,97,6,0.7319587628865979,22,21,0.9545454545454546
qwen3.5-397b,Qwen3.5-397B,Quant-100,0.9900990099009901,98,3,0.7653061224489796,24,22,0.9166666666666666
