model,model_display,setting,n_joined,baseline_abstentions,baseline_abstention_rate,int2_abstentions,int2_abstention_rate,int2_minus_baseline_abstention
claude-haiku-4-5,Claude Haiku 4.5,Quant-25,100,1,0.01,37,0.37,0.36
claude-haiku-4-5,Claude Haiku 4.5,Quant-100,100,1,0.01,38,0.38,0.37
claude-haiku-4-5,Claude Haiku 4.5,QP6,100,2,0.02,31,0.31,0.29
claude-haiku-4-5,Claude Haiku 4.5,QP7,100,1,0.01,29,0.29,0.27999999999999997
deepseek-v4-pro,DeepSeek V4 Pro,Quant-25,94,2,0.02127659574468085,7,0.07446808510638298,0.05319148936170212
deepseek-v4-pro,DeepSeek V4 Pro,Quant-100,96,1,0.010416666666666666,14,0.14583333333333334,0.13541666666666669
deepseek-v4-pro,DeepSeek V4 Pro,QP6,94,2,0.02127659574468085,9,0.09574468085106383,0.07446808510638298
deepseek-v4-pro,DeepSeek V4 Pro,QP7,90,1,0.011111111111111112,10,0.1111111111111111,0.09999999999999999
gemini-3.1-flash-lite-preview,Gemini 3.1 Flash Lite,Quant-25,100,0,0.0,32,0.32,0.32
gemini-3.1-flash-lite-preview,Gemini 3.1 Flash Lite,Quant-100,100,0,0.0,32,0.32,0.32
gemini-3.1-flash-lite-preview,Gemini 3.1 Flash Lite,QP6,100,3,0.03,19,0.19,0.16
gemini-3.1-flash-lite-preview,Gemini 3.1 Flash Lite,QP7,100,1,0.01,13,0.13,0.12000000000000001
gpt-5.4-nano,GPT-5.4 Nano,Quant-25,100,3,0.03,82,0.82,0.7899999999999999
gpt-5.4-nano,GPT-5.4 Nano,Quant-100,99,4,0.04040404040404041,76,0.7676767676767676,0.7272727272727272
gpt-5.4-nano,GPT-5.4 Nano,QP6,99,11,0.1111111111111111,90,0.9090909090909091,0.797979797979798
gpt-5.4-nano,GPT-5.4 Nano,QP7,100,3,0.03,87,0.87,0.84
qwen3.5-397b,Qwen3.5-397B,Quant-25,98,6,0.061224489795918366,17,0.17346938775510204,0.11224489795918367
qwen3.5-397b,Qwen3.5-397B,Quant-100,99,3,0.030303030303030304,16,0.16161616161616163,0.13131313131313133
qwen3.5-397b,Qwen3.5-397B,QP6,99,5,0.050505050505050504,16,0.16161616161616163,0.11111111111111113
qwen3.5-397b,Qwen3.5-397B,QP7,94,5,0.05319148936170213,11,0.11702127659574468,0.06382978723404256
