setting,raw_bin,n,abstentions,confidence_mean,confidence_min,confidence_max,abstention_rate,ci_low,ci_high,bin_label
Quant-25,0,4,0,0.0425,0.01,0.06,0.0,0.0,0.4898908364545973,0–10%
Quant-25,1,22,2,0.13499999999999998,0.12,0.18,0.09090909090909091,0.025295428990995267,0.27814946841605814,10–20%
Quant-25,2,7,0,0.23714285714285716,0.2,0.28,0.0,5.551115123125783e-17,0.35433043506668743,20–30%
Quant-25,3,3,0,0.33666666666666667,0.32,0.35,0.0,5.551115123125783e-17,0.5614970317550454,30–40%
Quant-25,4,2,0,0.44999999999999996,0.42,0.48,0.0,0.0,0.6576197724933469,40–50%
Quant-25,5,4,0,0.5475000000000001,0.54,0.56,0.0,0.0,0.4898908364545973,50–60%
Quant-25,6,16,0,0.62,0.62,0.62,0.0,0.0,0.1936076805344365,60–70%
Quant-25,7,24,0,0.7445833333333334,0.72,0.78,0.0,1.3877787807814457e-17,0.13797620467498017,70–80%
Quant-25,8,4,0,0.855,0.84,0.86,0.0,0.0,0.4898908364545973,80–90%
Quant-25,9,14,1,0.9492857142857142,0.9,0.99,0.07142857142857142,0.012722215247890939,0.31468704424151117,90–100%
Quant-100,0,5,1,0.05600000000000001,0.02,0.08,0.2,0.03622410863243014,0.6244653702374747,0–10%
Quant-100,1,19,3,0.1405263157894737,0.12,0.18,0.15789473684210525,0.05520471638534141,0.37565475270329074,10–20%
Quant-100,2,5,0,0.22200000000000003,0.2,0.26,0.0,0.0,0.43448246478317476,20–30%
Quant-100,3,4,0,0.3325,0.32,0.35,0.0,0.0,0.4898908364545973,30–40%
Quant-100,4,9,0,0.4244444444444444,0.42,0.46,0.0,0.0,0.2991450484195441,40–50%
Quant-100,5,5,0,0.56,0.55,0.58,0.0,0.0,0.43448246478317476,50–60%
Quant-100,6,17,0,0.6252941176470589,0.62,0.68,0.0,0.0,0.1843181350088518,60–70%
Quant-100,7,14,0,0.7421428571428572,0.72,0.78,0.0,1.3877787807814457e-17,0.2153108027376358,70–80%
Quant-100,8,4,0,0.8525,0.83,0.86,0.0,0.0,0.4898908364545973,80–90%
Quant-100,9,17,0,0.9435294117647058,0.9,0.99,0.0,0.0,0.1843181350088518,90–100%
QP6,0,2,1,0.025,0.0,0.05,0.5,0.09453120573423074,0.9054687942657693,0–10%
QP6,1,16,2,0.148125,0.12,0.18,0.125,0.03497748774324047,0.36022827265758695,10–20%
QP6,2,9,0,0.2288888888888889,0.2,0.27,0.0,0.0,0.2991450484195441,20–30%
QP6,3,4,1,0.3525,0.35,0.36,0.25,0.04558726080970055,0.6993581574175981,30–40%
QP6,4,6,1,0.43166666666666664,0.42,0.46,0.16666666666666666,0.030053369748306635,0.5635028221864702,40–50%
QP6,5,2,0,0.55,0.55,0.55,0.0,0.0,0.6576197724933469,50–60%
QP6,6,15,3,0.6246666666666666,0.62,0.68,0.2,0.07047549346981563,0.45185448715169363,60–70%
QP6,7,15,2,0.7486666666666667,0.72,0.78,0.13333333333333333,0.03736125910306537,0.37881982832322364,70–80%
QP6,8,12,0,0.8533333333333334,0.82,0.86,0.0,2.7755575615628914e-17,0.24249400665524085,80–90%
QP6,9,18,1,0.9594444444444444,0.9,0.99,0.05555555555555555,0.009875190978303097,0.25757300781872594,90–100%
QP7,0,2,0,0.035,0.02,0.05,0.0,0.0,0.6576197724933469,0–10%
QP7,1,24,1,0.15166666666666667,0.1,0.18,0.041666666666666664,0.0073934561655057685,0.20241806478655938,10–20%
QP7,2,10,1,0.238,0.21,0.28,0.1,0.017876213095072896,0.4041500267952385,20–30%
QP7,3,6,0,0.345,0.32,0.38,0.0,2.7755575615628914e-17,0.3903342879021653,30–40%
QP7,4,2,0,0.47,0.46,0.48,0.0,0.0,0.6576197724933469,40–50%
QP7,5,5,0,0.572,0.56,0.58,0.0,0.0,0.43448246478317476,50–60%
QP7,6,11,0,0.6218181818181818,0.62,0.63,0.0,0.0,0.2588329669680317,60–70%
QP7,7,17,0,0.7488235294117648,0.7,0.78,0.0,0.0,0.1843181350088518,70–80%
QP7,8,10,0,0.852,0.82,0.88,0.0,0.0,0.2775327998628892,80–90%
QP7,9,13,1,0.963076923076923,0.92,0.99,0.07692307692307693,0.013710421242556586,0.3331395092109959,90–100%
