setting,raw_bin,n,abstentions,confidence_mean,confidence_min,confidence_max,abstention_rate,ci_low,ci_high,bin_label
Quant-25,0,2,0,0.09125,0.09,0.0925,0.0,0.0,0.6576197724933469,0–10%
Quant-25,1,7,0,0.15178571428571427,0.125,0.1825,0.0,5.551115123125783e-17,0.35433043506668743,10–20%
Quant-25,2,7,0,0.23750000000000002,0.215,0.265,0.0,5.551115123125783e-17,0.35433043506668743,20–30%
Quant-25,3,15,2,0.3345,0.3,0.3925,0.13333333333333333,0.03736125910306537,0.37881982832322364,30–40%
Quant-25,4,16,0,0.435,0.4,0.485,0.0,0.0,0.1936076805344365,40–50%
Quant-25,5,8,0,0.54625,0.505,0.585,0.0,0.0,0.32440756488388023,50–60%
Quant-25,6,12,0,0.6422916666666666,0.61,0.6975,0.0,2.7755575615628914e-17,0.24249400665524085,60–70%
Quant-25,7,11,1,0.7495454545454545,0.705,0.7975,0.09090909090909091,0.016232172885884855,0.37735843645159567,70–80%
Quant-25,8,15,0,0.8355555555555555,0.8025,0.8875,0.0,0.0,0.20388330103584862,80–90%
Quant-25,9,7,0,0.9478571428571428,0.9075,0.99,0.0,5.551115123125783e-17,0.35433043506668743,90–100%
Quant-100,0,2,0,0.09125,0.09,0.0925,0.0,0.0,0.6576197724933469,0–10%
Quant-100,1,7,0,0.15178571428571427,0.125,0.1825,0.0,5.551115123125783e-17,0.35433043506668743,10–20%
Quant-100,2,7,1,0.23750000000000002,0.215,0.265,0.14285714285714285,0.02567962434474355,0.5131278292743189,20–30%
Quant-100,3,15,1,0.3345,0.3,0.3925,0.06666666666666667,0.011866895493268553,0.2981652987378003,30–40%
Quant-100,4,16,1,0.435,0.4,0.485,0.0625,0.01111934476464252,0.28328737570298945,40–50%
Quant-100,5,8,0,0.54625,0.505,0.585,0.0,0.0,0.32440756488388023,50–60%
Quant-100,6,12,0,0.6422916666666666,0.61,0.6975,0.0,2.7755575615628914e-17,0.24249400665524085,60–70%
Quant-100,7,11,1,0.7495454545454545,0.705,0.7975,0.09090909090909091,0.016232172885884855,0.37735843645159567,70–80%
Quant-100,8,15,0,0.8355555555555555,0.8025,0.8875,0.0,0.0,0.20388330103584862,80–90%
Quant-100,9,7,0,0.9478571428571428,0.9075,0.99,0.0,5.551115123125783e-17,0.35433043506668743,90–100%
QP6,0,2,1,0.09125,0.09,0.0925,0.5,0.09453120573423074,0.9054687942657693,0–10%
QP6,1,7,0,0.15178571428571427,0.125,0.1825,0.0,5.551115123125783e-17,0.35433043506668743,10–20%
QP6,2,7,2,0.23750000000000002,0.215,0.265,0.2857142857142857,0.08221892400405678,0.6410655481673808,20–30%
QP6,3,15,5,0.3345,0.3,0.3925,0.3333333333333333,0.1517632443971473,0.5828645226148023,30–40%
QP6,4,15,1,0.4331666666666667,0.4,0.485,0.06666666666666667,0.011866895493268553,0.2981652987378003,40–50%
QP6,5,8,0,0.54625,0.505,0.585,0.0,0.0,0.32440756488388023,50–60%
QP6,6,12,1,0.6422916666666666,0.61,0.6975,0.08333333333333333,0.014865094404917095,0.35387991114111694,60–70%
QP6,7,11,1,0.7495454545454545,0.705,0.7975,0.09090909090909091,0.016232172885884855,0.37735843645159567,70–80%
QP6,8,15,0,0.8355555555555555,0.8025,0.8875,0.0,0.0,0.20388330103584862,80–90%
QP6,9,7,0,0.9478571428571428,0.9075,0.99,0.0,5.551115123125783e-17,0.35433043506668743,90–100%
QP7,0,2,0,0.09125,0.09,0.0925,0.0,0.0,0.6576197724933469,0–10%
QP7,1,7,0,0.15178571428571427,0.125,0.1825,0.0,5.551115123125783e-17,0.35433043506668743,10–20%
QP7,2,7,1,0.23750000000000002,0.215,0.265,0.14285714285714285,0.02567962434474355,0.5131278292743189,20–30%
QP7,3,15,1,0.3345,0.3,0.3925,0.06666666666666667,0.011866895493268553,0.2981652987378003,30–40%
QP7,4,16,0,0.435,0.4,0.485,0.0,0.0,0.1936076805344365,40–50%
QP7,5,8,0,0.54625,0.505,0.585,0.0,0.0,0.32440756488388023,50–60%
QP7,6,12,0,0.6422916666666666,0.61,0.6975,0.0,2.7755575615628914e-17,0.24249400665524085,60–70%
QP7,7,11,1,0.7495454545454545,0.705,0.7975,0.09090909090909091,0.016232172885884855,0.37735843645159567,70–80%
QP7,8,15,0,0.8355555555555555,0.8025,0.8875,0.0,0.0,0.20388330103584862,80–90%
QP7,9,7,0,0.9478571428571428,0.9075,0.99,0.0,5.551115123125783e-17,0.35433043506668743,90–100%
