proxy,setting,n,unique_problems,abstentions,spearman_rho,rho_ci_low,rho_ci_high,lower_confidence_auc,auc_ci_low,auc_ci_high,bootstrap_successes
setting_matched,Quant-25,100,100,3,-0.05714548599088262,-0.23955642843551136,0.18405098797258562,0.5962199312714777,0.1111111111111111,0.8939393939393939,1895
setting_matched,Quant-100,99,99,4,-0.263634200321624,-0.38120891448345146,-0.12223069865864813,0.8855263157894737,0.7919888316151203,0.979381443298969,1967
setting_matched,QP6,99,99,11,-0.11780846842467757,-0.30249799197914945,0.09310577014010882,0.6079545454545454,0.4139596107704612,0.7876633759733035,2000
setting_matched,QP7,100,100,3,-0.02338987676416859,-0.22697273282679883,0.23050472531586627,0.5395189003436426,0.02951030927835053,0.8888888888888888,1914
setting_matched,Pooled,398,100,21,-0.10259674342955061,-0.21915217702310227,0.01362848227835711,0.632183908045977,0.4824071315777965,0.7911456377692987,2000
question_mean,Quant-25,100,100,3,-0.07412553315445485,-0.21926982532896117,0.09983475561192993,0.6254295532646048,0.2653061224489796,0.8469387755102041,1903
question_mean,Quant-100,100,100,4,-0.0936983013227948,-0.24401529173507197,0.07835367394649234,0.6380208333333334,0.3333333333333333,0.8934707903780069,1961
question_mean,QP6,99,99,11,-0.24969065090393866,-0.3918841993855131,-0.08210536394745863,0.7293388429752066,0.5813749279261965,0.8523021159874606,2000
question_mean,QP7,100,100,3,-0.09849557145180986,-0.2616957918984165,0.10622112726044775,0.6666666666666666,0.25252525252525254,0.9285714285714286,1911
question_mean,Pooled,399,100,21,-0.1412087174748604,-0.2629480016193418,-0.00046858080723672735,0.6825396825396826,0.5004945810766883,0.836611514469663,2000
