setting,percentile_bin,n,abstentions,confidence_mean,confidence_min,confidence_max,abstention_rate,ci_low,ci_high,bin_label
Quant-25,0,20,1,0.1045,0.01,0.12,0.05,0.008881448800795402,0.23613119344674205,0–10%
Quant-25,1,1,0,0.15,0.15,0.15,0.0,0.0,0.7934506856227626,10–20%
Quant-25,2,9,1,0.19111111111111112,0.18,0.22,0.1111111111111111,0.019890887638544907,0.434999705576656,20–30%
Quant-25,3,7,0,0.3242857142857143,0.28,0.42,0.0,5.551115123125783e-17,0.35433043506668743,30–40%
Quant-25,4,5,0,0.534,0.48,0.56,0.0,0.0,0.43448246478317476,40–50%
Quant-25,5,16,0,0.62,0.62,0.62,0.0,0.0,0.1936076805344365,50–60%
Quant-25,6,16,0,0.728125,0.72,0.75,0.0,0.0,0.1936076805344365,60–70%
Quant-25,7,9,0,0.7844444444444445,0.76,0.84,0.0,0.0,0.2991450484195441,70–80%
Quant-25,8,9,1,0.8999999999999999,0.86,0.93,0.1111111111111111,0.019890887638544907,0.434999705576656,80–90%
Quant-25,9,8,0,0.97125,0.95,0.99,0.0,0.0,0.32440756488388023,90–100%
Quant-100,0,16,2,0.09999999999999999,0.02,0.12,0.125,0.03497748774324047,0.36022827265758695,0–10%
Quant-100,1,3,1,0.15,0.15,0.15,0.3333333333333333,0.06149194472039621,0.7923403991979522,10–20%
Quant-100,2,10,1,0.20099999999999998,0.18,0.26,0.1,0.017876213095072896,0.4041500267952385,20–30%
Quant-100,3,13,0,0.3961538461538462,0.32,0.46,0.0,0.0,0.22809537235419838,30–40%
Quant-100,4,5,0,0.56,0.55,0.58,0.0,0.0,0.43448246478317476,40–50%
Quant-100,5,17,0,0.6252941176470589,0.62,0.68,0.0,0.0,0.1843181350088518,50–60%
Quant-100,6,10,0,0.727,0.72,0.75,0.0,0.0,0.2775327998628892,60–70%
Quant-100,7,5,0,0.79,0.78,0.83,0.0,0.0,0.43448246478317476,70–80%
Quant-100,8,12,0,0.9058333333333334,0.86,0.93,0.0,2.7755575615628914e-17,0.24249400665524085,80–90%
Quant-100,9,8,0,0.96875,0.95,0.99,0.0,0.0,0.32440756488388023,90–100%
QP6,0,10,3,0.101,0.0,0.12,0.3,0.10779126740630099,0.6032218525388546,0–10%
QP6,1,1,0,0.15,0.15,0.15,0.0,0.0,0.7934506856227626,10–20%
QP6,2,15,0,0.2033333333333333,0.18,0.25,0.0,0.0,0.20388330103584862,20–30%
QP6,3,11,2,0.38818181818181813,0.27,0.46,0.18181818181818182,0.05136768974608513,0.4769805619608442,30–40%
QP6,4,2,0,0.55,0.55,0.55,0.0,0.0,0.6576197724933469,40–50%
QP6,5,15,3,0.6246666666666666,0.62,0.68,0.2,0.07047549346981563,0.45185448715169363,50–60%
QP6,6,9,0,0.73,0.72,0.75,0.0,0.0,0.2991450484195441,60–70%
QP6,7,8,2,0.7875,0.76,0.82,0.25,0.071479212752109,0.5907245696898311,70–80%
QP6,8,14,0,0.8764285714285714,0.86,0.94,0.0,1.3877787807814457e-17,0.2153108027376358,80–90%
QP6,9,14,1,0.9714285714285714,0.95,0.99,0.07142857142857142,0.012722215247890939,0.31468704424151117,90–100%
QP7,0,10,0,0.101,0.02,0.12,0.0,0.0,0.2775327998628892,0–10%
QP7,1,6,1,0.15,0.14,0.17,0.16666666666666666,0.030053369748306635,0.5635028221864702,10–20%
QP7,2,18,1,0.20111111111111113,0.18,0.26,0.05555555555555555,0.009875190978303097,0.25757300781872594,20–30%
QP7,3,9,0,0.3433333333333333,0.28,0.46,0.0,0.0,0.2991450484195441,30–40%
QP7,4,6,0,0.5566666666666666,0.48,0.58,0.0,2.7755575615628914e-17,0.3903342879021653,40–50%
QP7,5,12,0,0.6283333333333333,0.62,0.7,0.0,2.7755575615628914e-17,0.24249400665524085,50–60%
QP7,6,8,0,0.72625,0.72,0.74,0.0,0.0,0.32440756488388023,60–70%
QP7,7,11,0,0.7909090909090909,0.76,0.84,0.0,0.0,0.2588329669680317,70–80%
QP7,8,9,0,0.8766666666666666,0.86,0.93,0.0,0.0,0.2991450484195441,80–90%
QP7,9,11,1,0.97,0.95,0.99,0.09090909090909091,0.016232172885884855,0.37735843645159567,90–100%
