setting,percentile_bin,n,abstentions,confidence_mean,confidence_min,confidence_max,abstention_rate,ci_low,ci_high,bin_label
Quant-25,0,10,0,0.146,0.09,0.215,0.0,0.0,0.2775327998628892,0–10%
Quant-25,1,10,0,0.26675,0.2175,0.31,0.0,0.0,0.2775327998628892,10–20%
Quant-25,2,10,2,0.3405,0.3125,0.3775,0.2,0.05668215145437519,0.5098375284633583,20–30%
Quant-25,3,10,0,0.41425,0.3925,0.4375,0.0,0.0,0.2775327998628892,30–40%
Quant-25,4,10,0,0.47525000000000006,0.4425,0.5325,0.0,0.0,0.2775327998628892,40–50%
Quant-25,5,10,0,0.592,0.5375,0.635,0.0,0.0,0.2775327998628892,50–60%
Quant-25,6,9,0,0.6697222222222222,0.64,0.7075,0.0,0.0,0.2991450484195441,60–70%
Quant-25,7,11,1,0.7672727272727272,0.725,0.8049999999999999,0.09090909090909091,0.016232172885884855,0.37735843645159567,70–80%
Quant-25,8,10,0,0.8295833333333332,0.8075,0.85,0.0,0.0,0.2775327998628892,80–90%
Quant-25,9,10,0,0.9265000000000001,0.86,0.99,0.0,0.0,0.2775327998628892,90–100%
Quant-100,0,10,1,0.146,0.09,0.215,0.1,0.017876213095072896,0.4041500267952385,0–10%
Quant-100,1,10,0,0.26675,0.2175,0.31,0.0,0.0,0.2775327998628892,10–20%
Quant-100,2,10,1,0.3405,0.3125,0.3775,0.1,0.017876213095072896,0.4041500267952385,20–30%
Quant-100,3,10,0,0.41425,0.3925,0.4375,0.0,0.0,0.2775327998628892,30–40%
Quant-100,4,10,1,0.47524999999999995,0.4425,0.5325,0.1,0.017876213095072896,0.4041500267952385,40–50%
Quant-100,5,10,0,0.592,0.5375,0.635,0.0,0.0,0.2775327998628892,50–60%
Quant-100,6,9,0,0.6697222222222222,0.64,0.7075,0.0,0.0,0.2991450484195441,60–70%
Quant-100,7,11,1,0.7672727272727272,0.725,0.8049999999999999,0.09090909090909091,0.016232172885884855,0.37735843645159567,70–80%
Quant-100,8,10,0,0.8295833333333332,0.8075,0.85,0.0,0.0,0.2775327998628892,80–90%
Quant-100,9,10,0,0.9265000000000001,0.86,0.99,0.0,0.0,0.2775327998628892,90–100%
QP6,0,10,2,0.146,0.09,0.215,0.2,0.05668215145437519,0.5098375284633583,0–10%
QP6,1,10,1,0.26675,0.2175,0.31,0.1,0.017876213095072896,0.4041500267952385,10–20%
QP6,2,10,4,0.3405,0.3125,0.3775,0.4,0.16818032970623614,0.6873262302663417,20–30%
QP6,3,10,1,0.41425,0.3925,0.4375,0.1,0.017876213095072896,0.4041500267952385,30–40%
QP6,4,9,1,0.4766666666666667,0.4425,0.5325,0.1111111111111111,0.019890887638544907,0.434999705576656,40–50%
QP6,5,10,1,0.592,0.5375,0.635,0.1,0.017876213095072896,0.4041500267952385,50–60%
QP6,6,9,0,0.6697222222222222,0.64,0.7075,0.0,0.0,0.2991450484195441,60–70%
QP6,7,11,1,0.7672727272727272,0.725,0.8049999999999999,0.09090909090909091,0.016232172885884855,0.37735843645159567,70–80%
QP6,8,10,0,0.8295833333333332,0.8075,0.85,0.0,0.0,0.2775327998628892,80–90%
QP6,9,10,0,0.9265000000000001,0.86,0.99,0.0,0.0,0.2775327998628892,90–100%
QP7,0,10,1,0.146,0.09,0.215,0.1,0.017876213095072896,0.4041500267952385,0–10%
QP7,1,10,0,0.26675,0.2175,0.31,0.0,0.0,0.2775327998628892,10–20%
QP7,2,10,1,0.3405,0.3125,0.3775,0.1,0.017876213095072896,0.4041500267952385,20–30%
QP7,3,10,0,0.41425,0.3925,0.4375,0.0,0.0,0.2775327998628892,30–40%
QP7,4,10,0,0.47524999999999995,0.4425,0.5325,0.0,0.0,0.2775327998628892,40–50%
QP7,5,10,0,0.592,0.5375,0.635,0.0,0.0,0.2775327998628892,50–60%
QP7,6,9,0,0.6697222222222222,0.64,0.7075,0.0,0.0,0.2991450484195441,60–70%
QP7,7,11,1,0.7672727272727272,0.725,0.8049999999999999,0.09090909090909091,0.016232172885884855,0.37735843645159567,70–80%
QP7,8,10,0,0.8295833333333332,0.8075,0.85,0.0,0.0,0.2775327998628892,80–90%
QP7,9,10,0,0.9265000000000001,0.86,0.99,0.0,0.0,0.2775327998628892,90–100%
