proxy,setting,n,unique_problems,baseline_abstentions,baseline_abstention_rate,abstention_ci_low,abstention_ci_high,mean_confidence,median_confidence,abstained_mean_confidence,submitted_mean_confidence,abstained_minus_submitted_confidence
setting_matched,Quant-25,100,100,3,0.03,0.010254524024038925,0.0845193642905276,0.5339999999999999,0.62,0.39999999999999997,0.5381443298969072,-0.13814432989690723
setting_matched,Quant-100,99,99,4,0.04040404040404041,0.015822638994147556,0.09932021250254229,0.5301010101010101,0.62,0.125,0.5471578947368421,-0.42215789473684207
setting_matched,QP6,99,99,11,0.1111111111111111,0.06318563453857474,0.1880890859586244,0.5827272727272726,0.62,0.49272727272727274,0.5939772727272726,-0.1012499999999999
setting_matched,QP7,100,100,3,0.03,0.010254524024038925,0.0845193642905276,0.5257,0.62,0.45,0.528041237113402,-0.078041237113402
setting_matched,Pooled,398,100,21,0.052763819095477386,0.03476665198900107,0.07931181805047055,0.5430653266331658,0.62,0.4033333333333334,0.5508488063660478,-0.14751547303271445
question_mean,Quant-25,100,100,3,0.03,0.010254524024038925,0.0845193642905276,0.5437583333333333,0.5349999999999999,0.45249999999999996,0.5465807560137458,-0.09408075601374583
question_mean,Quant-100,100,100,4,0.04,0.01566330399154762,0.0983707143588792,0.5437583333333333,0.5349999999999999,0.43062500000000004,0.5484722222222221,-0.1178472222222221
question_mean,QP6,99,99,11,0.1111111111111111,0.06318563453857474,0.1880890859586244,0.5445791245791246,0.5375,0.3740909090909091,0.5658901515151515,-0.19179924242424246
question_mean,QP7,100,100,3,0.03,0.010254524024038925,0.0845193642905276,0.5437583333333333,0.5349999999999999,0.41916666666666663,0.5476116838487972,-0.12844501718213058
question_mean,Pooled,399,100,21,0.05263157894736842,0.034678869065688386,0.07911641644165134,0.5439619883040936,0.5375,0.4025,0.551820987654321,-0.14932098765432095
