model,intervention,setting,percentile_bin,n,abstentions,confidence_mean,confidence_min,confidence_max,abstention_rate,ci_low,ci_high,bin_label
claude-haiku-4-5,1,Quant-25,0,9,6,0.23333333333333334,0.0,0.3,0.6666666666666666,0.3542021355803963,0.879416181613089,0–10%
claude-haiku-4-5,1,Quant-25,1,8,6,0.3625,0.35,0.4,0.75,0.40927543031016883,0.9285207872478909,10–20%
claude-haiku-4-5,1,Quant-25,2,8,5,0.54625,0.45,0.72,0.625,0.30574239460262737,0.8631557141764026,20–30%
claude-haiku-4-5,1,Quant-25,3,17,1,0.75,0.75,0.75,0.058823529411764705,0.010460400984997592,0.26982030637575405,30–40%
claude-haiku-4-5,1,Quant-25,4,8,1,0.85,0.85,0.85,0.125,0.02241749145005667,0.4708881822128535,40–50%
claude-haiku-4-5,1,Quant-25,5,7,2,0.9171428571428571,0.9,0.92,0.2857142857142857,0.08221892400405678,0.6410655481673808,50–60%
claude-haiku-4-5,1,Quant-25,6,26,0,0.95,0.95,0.95,0.0,0.0,0.1287289218592153,60–70%
claude-haiku-4-5,1,Quant-25,7,0,0,,,,,,,70–80%
claude-haiku-4-5,1,Quant-25,8,3,0,0.98,0.98,0.98,0.0,5.551115123125783e-17,0.5614970317550454,80–90%
claude-haiku-4-5,1,Quant-25,9,10,0,0.99,0.99,0.99,0.0,0.0,0.2775327998628892,90–100%
claude-haiku-4-5,1,Quant-100,0,9,6,0.2111111111111111,0.05,0.3,0.6666666666666666,0.3542021355803963,0.879416181613089,0–10%
claude-haiku-4-5,1,Quant-100,1,13,11,0.3538461538461538,0.35,0.4,0.8461538461538461,0.5776536898051745,0.9567418216419186,10–20%
claude-haiku-4-5,1,Quant-100,2,10,4,0.54,0.45,0.7,0.4,0.16818032970623614,0.6873262302663417,20–30%
claude-haiku-4-5,1,Quant-100,3,9,1,0.75,0.75,0.75,0.1111111111111111,0.019890887638544907,0.434999705576656,30–40%
claude-haiku-4-5,1,Quant-100,4,13,0,0.8499999999999999,0.85,0.85,0.0,0.0,0.22809537235419838,40–50%
claude-haiku-4-5,1,Quant-100,5,1,0,0.9,0.9,0.9,0.0,0.0,0.7934506856227626,50–60%
claude-haiku-4-5,1,Quant-100,6,25,2,0.95,0.95,0.95,0.08,0.022220401284847563,0.24966108950395313,60–70%
claude-haiku-4-5,1,Quant-100,7,0,0,,,,,,,70–80%
claude-haiku-4-5,1,Quant-100,8,9,1,0.98,0.98,0.98,0.1111111111111111,0.019890887638544907,0.434999705576656,80–90%
claude-haiku-4-5,1,Quant-100,9,8,0,0.99,0.99,0.99,0.0,0.0,0.32440756488388023,90–100%
claude-haiku-4-5,1,QP6,0,9,8,0.24444444444444446,0.15,0.3,0.8888888888888888,0.5650002944233439,0.9801091123614551,0–10%
claude-haiku-4-5,1,QP6,1,8,6,0.3625,0.35,0.4,0.75,0.40927543031016883,0.9285207872478909,10–20%
claude-haiku-4-5,1,QP6,2,12,9,0.525,0.45,0.65,0.75,0.46769466506643426,0.9110583316059453,20–30%
claude-haiku-4-5,1,QP6,3,8,0,0.75,0.75,0.75,0.0,0.0,0.32440756488388023,30–40%
claude-haiku-4-5,1,QP6,4,8,0,0.85,0.85,0.85,0.0,0.0,0.32440756488388023,40–50%
claude-haiku-4-5,1,QP6,5,8,0,0.915,0.9,0.92,0.0,0.0,0.32440756488388023,50–60%
claude-haiku-4-5,1,QP6,6,25,0,0.95,0.95,0.95,0.0,1.3877787807814457e-17,0.13319225093904846,60–70%
claude-haiku-4-5,1,QP6,7,0,0,,,,,,,70–80%
claude-haiku-4-5,1,QP6,8,4,0,0.98,0.98,0.98,0.0,0.0,0.4898908364545973,80–90%
claude-haiku-4-5,1,QP6,9,14,0,0.99,0.99,0.99,0.0,1.3877787807814457e-17,0.2153108027376358,90–100%
claude-haiku-4-5,1,QP7,0,8,6,0.2375,0.0,0.3,0.75,0.40927543031016883,0.9285207872478909,0–10%
claude-haiku-4-5,1,QP7,1,8,4,0.35,0.35,0.35,0.5,0.21521606221387757,0.7847839377861224,10–20%
claude-haiku-4-5,1,QP7,2,11,4,0.5181818181818182,0.45,0.7,0.36363636363636365,0.15166471095367573,0.6461988254921511,20–30%
