model,intervention,setting,threshold,n,agreement_rate,should_abstain_n,under_abstention_n,under_abstention_rate,should_submit_n,over_abstention_n,over_abstention_rate
claude-haiku-4-5,1,Quant-25,0.9615384615384616,96,0.3541666666666667,83,62,0.7469879518072289,13,0,0.0
claude-haiku-4-5,1,Quant-100,0.9900990099009901,97,0.25773195876288657,97,72,0.7422680412371134,0,0,
claude-haiku-4-5,2,Quant-25,0.9615384615384616,100,0.67,70,33,0.4714285714285714,30,0,0.0
claude-haiku-4-5,2,Quant-100,0.9900990099009901,100,0.39,99,61,0.6161616161616161,1,0,0.0
deepseek-v4-pro,1,Quant-25,0.9615384615384616,93,0.989247311827957,6,1,0.16666666666666666,87,0,0.0
deepseek-v4-pro,1,Quant-100,0.9900990099009901,89,0.9101123595505618,12,8,0.6666666666666666,77,0,0.0
deepseek-v4-pro,2,Quant-25,0.9615384615384616,98,0.9795918367346939,9,0,0.0,89,2,0.02247191011235955
deepseek-v4-pro,2,Quant-100,0.9900990099009901,98,0.9285714285714286,17,3,0.17647058823529413,81,4,0.04938271604938271
gemini-3.1-flash-lite-preview,1,Quant-25,0.9615384615384616,100,0.65,54,34,0.6296296296296297,46,1,0.021739130434782608
gemini-3.1-flash-lite-preview,1,Quant-100,0.9900990099009901,100,0.61,54,39,0.7222222222222222,46,0,0.0
gemini-3.1-flash-lite-preview,2,Quant-25,0.9615384615384616,100,0.83,23,4,0.17391304347826086,77,13,0.16883116883116883
gemini-3.1-flash-lite-preview,2,Quant-100,0.9900990099009901,100,0.75,23,8,0.34782608695652173,77,17,0.22077922077922077
gpt-5.4-nano,1,Quant-25,0.9615384615384616,100,0.64,90,35,0.3888888888888889,10,1,0.1
gpt-5.4-nano,1,Quant-100,0.9900990099009901,97,0.5257731958762887,97,46,0.4742268041237113,0,0,
gpt-5.4-nano,2,Quant-25,0.9615384615384616,100,0.87,95,13,0.1368421052631579,5,0,0.0
gpt-5.4-nano,2,Quant-100,0.9900990099009901,99,0.7676767676767676,99,23,0.23232323232323232,0,0,
qwen3.5-397b,1,Quant-25,0.9615384615384616,94,0.8404255319148937,19,15,0.7894736842105263,75,0,0.0
qwen3.5-397b,1,Quant-100,0.9900990099009901,100,0.63,43,37,0.8604651162790697,57,0,0.0
qwen3.5-397b,2,Quant-25,0.9615384615384616,99,0.898989898989899,24,8,0.3333333333333333,75,2,0.02666666666666667
qwen3.5-397b,2,Quant-100,0.9900990099009901,99,0.8585858585858586,25,11,0.44,74,3,0.04054054054054054
