model,intervention,setting,n,abstentions,abstention_rate,ci_low,ci_high
claude-haiku-4-5,1,Quant-25,13,0,0.0,0.0,0.22809537235419838
claude-haiku-4-5,1,Quant-100,17,1,0.058823529411764705,0.010460400984997592,0.26982030637575405
claude-haiku-4-5,2,Quant-25,30,0,0.0,0.0,0.11351339317396876
claude-haiku-4-5,2,Quant-100,26,0,0.0,0.0,0.1287289218592153
deepseek-v4-pro,1,Quant-25,27,0,0.0,0.0,0.12455502974186705
deepseek-v4-pro,1,Quant-100,7,0,0.0,5.551115123125783e-17,0.35433043506668743
deepseek-v4-pro,2,Quant-25,11,0,0.0,0.0,0.2588329669680317
deepseek-v4-pro,2,Quant-100,9,6,0.6666666666666666,0.3542021355803963,0.879416181613089
gemini-3.1-flash-lite-preview,1,Quant-25,0,0,,,
gemini-3.1-flash-lite-preview,1,Quant-100,0,0,,,
gemini-3.1-flash-lite-preview,2,Quant-25,0,0,,,
gemini-3.1-flash-lite-preview,2,Quant-100,0,0,,,
gpt-5.4-nano,1,Quant-25,10,1,0.1,0.017876213095072896,0.4041500267952385
gpt-5.4-nano,1,Quant-100,12,2,0.16666666666666666,0.04696514218385378,0.4480308622529734
gpt-5.4-nano,2,Quant-25,5,0,0.0,0.0,0.43448246478317476
gpt-5.4-nano,2,Quant-100,4,0,0.0,0.0,0.4898908364545973
qwen3.5-397b,1,Quant-25,55,0,0.0,0.0,0.06528490111708637
qwen3.5-397b,1,Quant-100,19,0,0.0,0.0,0.16817922405261626
qwen3.5-397b,2,Quant-25,7,1,0.14285714285714285,0.02567962434474355,0.5131278292743189
qwen3.5-397b,2,Quant-100,9,5,0.5555555555555556,0.26665129349549305,0.8112214789023355
