model,intervention,quant25_n,quant25_abstentions,quant25_abstention_rate,quant100_n,quant100_abstentions,quant100_abstention_rate,abstention_difference,newcombe_ci_low,newcombe_ci_high,fisher_exact_p
claude-haiku-4-5,1,13,0,0.0,17,1,0.058823529411764705,0.058823529411764705,-0.2176349713692008,0.26982030637575405,1.0
claude-haiku-4-5,2,30,0,0.0,26,0,0.0,0.0,-0.11351339317396876,0.1287289218592153,1.0
deepseek-v4-pro,1,27,0,0.0,7,0,0.0,0.0,-0.124555029741867,0.35433043506668743,1.0
deepseek-v4-pro,2,11,0,0.0,9,6,0.6666666666666666,0.6666666666666666,0.09536916861236461,0.879416181613089,0.0021671826625387
gemini-3.1-flash-lite-preview,1,0,0,,0,0,,,,,
gemini-3.1-flash-lite-preview,2,0,0,,0,0,,,,,
gpt-5.4-nano,1,10,1,0.1,12,2,0.16666666666666666,0.06666666666666665,-0.3571848846113847,0.43015464915790047,1.0
gpt-5.4-nano,2,5,0,0.0,4,0,0.0,0.0,-0.43448246478317476,0.4898908364545973,1.0
qwen3.5-397b,1,55,0,0.0,19,0,0.0,0.0,-0.06528490111708637,0.16817922405261626,1.0
qwen3.5-397b,2,7,1,0.14285714285714285,9,5,0.5555555555555556,0.41269841269841273,-0.24647653577882583,0.785541854557592,0.1451048951048951
