slug,cell,kind,label,n,correct,incorrect,abstained,indeterminate,abst_rate,sel_acc,base_acc,delta,score,score_per_problem,upstreams
claude-haiku-4-5,quant_1_0_0,quant,r_0,100,58,41,1,0,1.0,58.6,66.0,-7.399999999999999,58.0,0.58,
gpt-5.4-nano,QP1,qual,QP1,100,40,37,23,0,23.0,51.9,42.0,9.899999999999999,,,
gpt-5.4-nano,QP2,qual,QP2,100,37,56,7,0,7.0,39.8,42.0,-2.200000000000003,,,
gpt-5.4-nano,QP3,qual,QP3,100,46,35,19,0,19.0,56.8,42.0,14.799999999999997,,,
gpt-5.4-nano,QP4,qual,QP4,99,36,41,22,0,22.22222222222222,46.8,42.0,4.799999999999997,,,
gpt-5.4-nano,QP5,qual,QP5,100,44,49,7,0,7.0,47.3,42.0,5.299999999999997,,,
gpt-5.4-nano,QP6,qual,QP6,99,48,40,11,0,11.11111111111111,54.5,42.0,12.5,,,
gpt-5.4-nano,QP7,qual,QP7,100,50,47,3,0,3.0,51.5,42.0,9.5,,,
gpt-5.4-nano,quant_1_0_0,quant,r_0,100,50,48,2,0,2.0,51.0,42.0,9.0,50.0,0.5,
gpt-5.4-nano,quant_1_0_-1,quant,r_1,100,41,56,3,0,3.0,42.3,42.0,0.29999999999999716,-15.0,-0.15,
gpt-5.4-nano,quant_1_0_-5,quant,r_5,100,43,53,4,0,4.0,44.8,42.0,2.799999999999997,-222.0,-2.22,
gpt-5.4-nano,quant_1_0_-10,quant,r_10,100,44,52,4,0,4.0,45.8,42.0,3.799999999999997,-476.0,-4.76,
gpt-5.4-nano,quant_1_0_-25,quant,r_25,100,50,47,3,0,3.0,51.5,42.0,9.5,-1125.0,-11.25,
gpt-5.4-nano,quant_1_0_-100,quant,r_100,100,47,49,4,0,4.0,49.0,42.0,7.0,-4853.0,-48.53,
gpt-5.4-nano,quant_-1_10_-10,quant,r_abstain,100,40,52,8,0,8.0,43.5,42.0,1.5,-480.0,-4.8,
gemini-3.1-flash-lite-preview,quant_1_0_0,quant,r_0,100,55,45,0,0,0.0,55.0,60.0,-5.0,55.0,0.55,
deepseek-v4-pro,quant_1_0_0,quant,r_0,100,80,12,1,7,1.0,87.0,78.6,8.400000000000006,80.0,0.8,Baidu:25;GMICloud:24;StreamLake:17;Alibaba:8;Novita:7;CoreWeave:5;BaseTen:4;Ionstream:3;AtlasCloud:2;DigitalOcean:2;Wafer:2;SiliconFlow:1
qwen3.5-397b,quant_1_0_0,quant,r_0,100,64,12,22,2,22.0,84.2,83.5,0.7000000000000028,64.0,0.64,
